name,chembl_id,max_phase,s_u_percentile,s_n_percentile,s_n_ml_percentile,s_n_dock_percentile,p_active_nlrp3,pains_any,brenk,qed,lipinski_pass,veber_pass,structurally_clean,druglike,clean_candidate,nlrp3_structure_supported,nlrp3_ml_only_risk,is_known_reference,dual_structure_balance
CANAGLIFLOZIN,CHEMBL4594217,4.0,98.07029634734666,94.00413507925568,75.63749138525155,94.00413507925568,0.91666675,False,False,0.486,True,True,True,True,True,True,False,False,94.00413507925568
CAFICRESTAT,CHEMBL4297455,3.0,91.45416953824947,94.96898690558236,3.308063404548587,94.96898690558236,0.57095164,False,False,0.539,True,True,True,True,True,True,False,False,91.45416953824947
DORZAGLIATIN,CHEMBL4297508,3.0,95.93383873190902,91.38525155065471,91.38525155065471,87.5947622329428,1.0,False,False,0.497,True,True,True,True,True,False,True,False,87.5947622329428
SERALUTINIB,CHEMBL4650333,3.0,91.10957960027568,91.38525155065471,91.38525155065471,66.50585802894555,1.0,False,False,0.362,True,True,True,True,True,False,True,False,66.50585802894555
NELUTROCTIV,CHEMBL5314433,2.0,92.3501033769814,94.41764300482426,24.01791867677464,94.41764300482426,0.9166666,False,False,0.562,True,True,True,True,True,True,False,False,92.3501033769814
SLV-334,CHEMBL4297432,2.0,99.93108201240524,92.1433494141971,50.137835975189525,92.1433494141971,0.9166667,False,False,0.324,True,True,True,True,True,True,False,False,92.1433494141971
FULIMETIBANT,CHEMBL5095100,2.0,90.28256374913852,91.38525155065471,91.38525155065471,90.07580978635424,1.0,False,False,0.431,True,True,True,True,True,True,False,False,90.07580978635424
BERVASTATIN,CHEMBL2218915,2.0,97.58787043418332,91.38525155065471,91.38525155065471,71.60578911095796,1.0,False,False,0.538,True,True,True,True,True,False,True,False,71.60578911095796
ONRADIVIR,CHEMBL5095075,2.0,90.9028256374914,91.38525155065471,91.38525155065471,47.96691936595452,1.0,False,False,0.551,True,True,True,True,True,False,True,False,47.96691936595452
PF-06952229,CHEMBL5095192,1.0,97.10544452102,94.5554789800138,50.137835975189525,94.5554789800138,0.9166667,False,False,0.408,True,True,True,True,True,True,False,False,94.5554789800138
STX-478,CHEMBL5421037,1.0,94.41764300482426,91.38525155065471,91.38525155065471,65.74776016540316,1.0,False,False,0.579,True,True,True,True,True,False,True,False,65.74776016540316
RINETERKIB,CHEMBL3909517,1.0,99.2419021364576,91.38525155065471,91.38525155065471,38.59407305306684,1.0,False,False,0.33,True,True,True,True,True,False,True,False,38.59407305306684
GDC-0917,CHEMBL4297282,1.0,96.3473466574776,91.38525155065471,91.38525155065471,35.01033769813922,1.0,False,False,0.357,True,True,True,True,True,False,True,False,35.01033769813922
M4344,CHEMBL4650286,1.0,96.96760854583046,91.38525155065471,91.38525155065471,20.744314266023437,1.0,False,False,0.485,True,True,True,True,True,False,True,False,20.744314266023437
