molecule_chembl_id,canonical_smiles,pActivity,n_measurements
CHEMBL10,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,6.260000000000001,3
CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,5.85,2
CHEMBL1077116,COc1cc2c(cc1Cl)CCN=C2c1cccc(Cl)c1,4.9,1
CHEMBL1077118,COc1cc2c(cc1OC)C(c1cccc(Cl)c1)=NCC2,5.0,1
CHEMBL1077129,COc1cc2c(cc1Cl)C(c1cccc(Cl)c1F)=NCC2,6.2,1
CHEMBL1077132,COc1cc2c(cc1Cl)C(c1ccccc1)=NCC2,5.2,1
CHEMBL1077137,COc1cc2c(cc1Cl)CCN=C2c1cccc(Br)c1,5.0,1
CHEMBL1079921,CN(C)CCCNC(=O)c1ccc2c(c1)CC(c1nc3ccc(-c4cn[nH]c4)cc3s1)CO2,5.26,1
CHEMBL1080279,COc1cccc(CN(CCN(C)C)C(=O)c2nc3ccc(-c4cn[nH]c4)cc3s2)c1,4.86,1
CHEMBL1080582,c1ccc(-c2noc(CN3CCCCC3)c2-c2ccnc(NC3CCCCC3)n2)cc1,7.58,1
CHEMBL1082866,COc1cc2c(cc1Cl)C(c1ccc(F)cc1)=NCC2,5.3,1
CHEMBL1083185,COc1cc2c(cc1Cl)C(c1cccc(Br)c1)=NCC2,6.4,1
CHEMBL1084664,COc1cc2c(cc1Cl)C(c1cccc(F)c1)=NCC2,5.4,1
CHEMBL1086653,COc1cc2c(cc1OC)C(c1ccc(Cl)c(Cl)c1)=NCC2,5.2,1
CHEMBL1087421,COc1cc2c(cc1Cl)C(c1ccc(Cl)c(Cl)c1)=NCC2,6.9,2
CHEMBL1087544,COc1cc2c(cc1Cl)CCN=C2c1ccc(Cl)c(Cl)c1,4.8,1
CHEMBL1088053,COc1cc2c(cc1Cl)C(c1ccc3ccccc3c1)=NCC2,6.0,1
CHEMBL1088633,COc1cc2c(cc1Cl)C(c1cccc(Cl)c1)=NCC2,6.75,2
CHEMBL1088634,COc1cc2c(cc1Cl)C(c1cccc(C)c1)=NCC2,5.7,1
CHEMBL1092764,CN(C)CCCC(=O)Nc1cc(C(=O)O)cc(-c2n[nH]c3cc(Nc4ccccc4Cl)ccc23)c1,8.52,1
CHEMBL1094013,CCCNc1nccc(-c2c(-c3ccc(F)cc3)nc3n2[C@H](Cc2ccc(OC)cc2)CC3)n1,7.96,1
CHEMBL1213862,O=C1NC(=O)/C(=C2/C(=O)Nc3ccccc32)S1,5.18,1
CHEMBL1222474,O=C(NCCN1CCCC1)c1ccc(-c2cnc3ccc(NCc4ccc(Cl)c(Cl)c4)nn23)cc1,4.05,1
CHEMBL1222992,O=C(NC[C@@H]1CCCN1)c1ccc(-c2cnc3ccc(NCc4cccc(Cl)c4)nn23)cc1,4.11,1
CHEMBL1233747,COc1cc(NC(=O)c2cccc(-n3cc(NC(=O)Nc4ccccc4)cn3)c2)cc(OC)c1OC,7.6,2
CHEMBL1233748,COc1cc(NC(=O)c2cccc(-n3ncc4cc(Nc5ccccc5F)ccc43)c2)cc(OC)c1OC,8.05,2
CHEMBL1233749,C#CCN1CCN(c2c(Cl)cccc2NC(=O)c2ccc(Br)o2)CC1,6.8,1
CHEMBL1287858,COC(=O)c1ccccc1NC(=O)Cc1cccc2ccccc12,5.77,1
CHEMBL1287859,COC(=O)c1cscc1NC(=O)Cc1cccc2ccccc12,6.05,1
