molecule_chembl_id,canonical_smiles,pAct_JNK1,pAct_JNK2,pAct_JNK3,n_isoforms,delta_12,delta_13,delta_min,sel_class
CHEMBL10,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,5.3,5.9557142857142855,6.260000000000001,3,-0.6557142857142857,-0.9600000000000009,-0.9600000000000009,non-selective
CHEMBL101035,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)cc2)cc1,,5.325,,1,,,,unknown
CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,,7.548571428571429,5.85,2,,,,unknown
CHEMBL1077116,COc1cc2c(cc1Cl)CCN=C2c1cccc(Cl)c1,,,4.9,1,,,,unknown
CHEMBL1077118,COc1cc2c(cc1OC)C(c1cccc(Cl)c1)=NCC2,,,5.0,1,,,,unknown
CHEMBL1077129,COc1cc2c(cc1Cl)C(c1cccc(Cl)c1F)=NCC2,,,6.2,1,,,,unknown
CHEMBL1077132,COc1cc2c(cc1Cl)C(c1ccccc1)=NCC2,,,5.2,1,,,,unknown
CHEMBL1077137,COc1cc2c(cc1Cl)CCN=C2c1cccc(Br)c1,,,5.0,1,,,,unknown
CHEMBL1077414,Cc1cc(OCc2ccc(F)cc2F)c(Br)c(=O)n1Cc1cccc(C(N)=O)c1,,3.7772835288524167,,1,,,,unknown
CHEMBL1079921,CN(C)CCCNC(=O)c1ccc2c(c1)CC(c1nc3ccc(-c4cn[nH]c4)cc3s1)CO2,,,5.26,1,,,,unknown
CHEMBL1080279,COc1cccc(CN(CCN(C)C)C(=O)c2nc3ccc(-c4cn[nH]c4)cc3s2)c1,,,4.86,1,,,,unknown
CHEMBL1080582,c1ccc(-c2noc(CN3CCCCC3)c2-c2ccnc(NC3CCCCC3)n2)cc1,,,7.58,1,,,,unknown
CHEMBL1082866,COc1cc2c(cc1Cl)C(c1ccc(F)cc1)=NCC2,,,5.3,1,,,,unknown
CHEMBL1083185,COc1cc2c(cc1Cl)C(c1cccc(Br)c1)=NCC2,,,6.4,1,,,,unknown
CHEMBL1084664,COc1cc2c(cc1Cl)C(c1cccc(F)c1)=NCC2,,,5.4,1,,,,unknown
CHEMBL1086653,COc1cc2c(cc1OC)C(c1ccc(Cl)c(Cl)c1)=NCC2,,,5.2,1,,,,unknown
CHEMBL1087421,COc1cc2c(cc1Cl)C(c1ccc(Cl)c(Cl)c1)=NCC2,4.0,6.1,6.9,3,-2.0999999999999996,-2.9000000000000004,-2.9000000000000004,non-selective
CHEMBL1087544,COc1cc2c(cc1Cl)CCN=C2c1ccc(Cl)c(Cl)c1,,,4.8,1,,,,unknown
CHEMBL1088053,COc1cc2c(cc1Cl)C(c1ccc3ccccc3c1)=NCC2,,,6.0,1,,,,unknown
CHEMBL1088633,COc1cc2c(cc1Cl)C(c1cccc(Cl)c1)=NCC2,,5.9,6.75,2,,,,unknown
CHEMBL1088634,COc1cc2c(cc1Cl)C(c1cccc(C)c1)=NCC2,,,5.7,1,,,,unknown
CHEMBL1090089,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC(CCO)CCO)nc21,5.27,,,1,,,,non-selective
CHEMBL1092764,CN(C)CCCC(=O)Nc1cc(C(=O)O)cc(-c2n[nH]c3cc(Nc4ccccc4Cl)ccc23)c1,7.0,,8.52,2,,-1.5199999999999996,-1.5199999999999996,non-selective
CHEMBL1094013,CCCNc1nccc(-c2c(-c3ccc(F)cc3)nc3n2[C@H](Cc2ccc(OC)cc2)CC3)n1,,,7.96,1,,,,unknown
CHEMBL118258,CN1CCC(O)(c2cn(-c3ccnc(NC4CCCC4)n3)c(-c3cccc(C(F)(F)F)c3)n2)CC1,,5.33,,1,,,,unknown
CHEMBL1189513,O=C1OC(CN2CCOCC2)CN1/N=C/c1ccc([N+](=O)[O-])o1,,4.87,,1,,,,unknown
CHEMBL120185,CN1CCN(c2ccc3c(n2)nc(-c2ccc(F)cc2)n3-c2ccnc(NC3CCCC3)n2)CC1,5.82,7.33,,2,-1.5099999999999998,,-1.5099999999999998,non-selective
CHEMBL1213862,O=C1NC(=O)/C(=C2/C(=O)Nc3ccccc32)S1,,,5.18,1,,,,unknown
CHEMBL121405,OC1(c2nc(-c3ccc(F)cc3)c(-c3ccnc(NC4CCCCC4)c3)o2)CCNCC1,6.82,7.52,,2,-0.6999999999999993,,-0.6999999999999993,non-selective
CHEMBL1222474,O=C(NCCN1CCCC1)c1ccc(-c2cnc3ccc(NCc4ccc(Cl)c(Cl)c4)nn23)cc1,,,4.05,1,,,,unknown
CHEMBL1222992,O=C(NC[C@@H]1CCCN1)c1ccc(-c2cnc3ccc(NCc4cccc(Cl)c4)nn23)cc1,,,4.11,1,,,,unknown
CHEMBL1232772,CC(C)Nc1ncc2cc(Oc3ccc(F)cc3F)c(=O)n(C)c2n1,5.38,,,1,,,,non-selective
CHEMBL1233747,COc1cc(NC(=O)c2cccc(-n3cc(NC(=O)Nc4ccccc4)cn3)c2)cc(OC)c1OC,6.4,,7.6,2,,-1.1999999999999993,-1.1999999999999993,non-selective
CHEMBL1233748,COc1cc(NC(=O)c2cccc(-n3ncc4cc(Nc5ccccc5F)ccc43)c2)cc(OC)c1OC,7.14,,8.05,2,,-0.910000000000001,-0.910000000000001,non-selective
CHEMBL1233749,C#CCN1CCN(c2c(Cl)cccc2NC(=O)c2ccc(Br)o2)CC1,6.85,,6.8,2,,0.04999999999999982,0.04999999999999982,non-selective
CHEMBL1287858,COC(=O)c1ccccc1NC(=O)Cc1cccc2ccccc12,5.68,4.88,5.77,3,0.7999999999999998,-0.08999999999999986,-0.08999999999999986,non-selective
CHEMBL1287859,COC(=O)c1cscc1NC(=O)Cc1cccc2ccccc12,6.05,5.0,6.05,3,1.0499999999999998,0.0,0.0,non-selective
CHEMBL1287886,COC(=O)c1n[nH]cc1NC(=O)Cc1cccc2ccccc12,5.68,4.57,5.27,3,1.1099999999999994,0.41000000000000014,0.41000000000000014,non-selective
CHEMBL1287887,COC(=O)c1cnccc1NC(=O)Cc1cccc2ccccc12,5.19,4.63,5.19,3,0.5600000000000005,0.0,0.0,non-selective
CHEMBL1287888,O=C(Cc1cccc2ccccc12)Nc1ccsc1-c1nnco1,5.4,4.57,5.29,3,0.8300000000000001,0.11000000000000032,0.11000000000000032,non-selective
CHEMBL1287914,O=C(Cc1cccc2ccccc12)Nc1ccsc1-n1ccnc1,4.57,,5.175,2,,-0.6049999999999995,-0.6049999999999995,non-selective
CHEMBL1287915,O=C(Cc1cccc2ccccc12)Nc1ccsc1-c1cc[nH]n1,5.4,,5.37,2,,0.03000000000000025,0.03000000000000025,non-selective
CHEMBL1287916,O=C(Cc1cccc2ccccc12)Nc1ccsc1-c1nc[nH]n1,5.79,5.41,5.67,3,0.3799999999999999,0.1200000000000001,0.1200000000000001,non-selective
CHEMBL1287944,Cc1nnc(-c2sccc2NC(=O)Cc2cccc3ccccc23)o1,5.525,4.79,5.49,3,0.7350000000000003,0.03500000000000014,0.03500000000000014,non-selective
