event_date,date_precision,year,event_type,compound_or_id,title,authors,venue,doi_or_id,url,key_finding,status
2021-03-23,exact,2021,patent_priority,WO2022204227 family,NLRP3 inflammasome inhibitor patent priority,BioAge / HitGen,US priority,2021-03-23,https://patents.google.com/patent/WO2022204227A1,Earliest BAL indazole patent family priority date,
2022-09-09,exact,2022,patent_filing,US11708334,BAL synthesis patent application,BioAge Labs,USPTO,US17/930895,https://patents.google.com/patent/US11708334B2,BAL-0028/BAL-0598 synthesis routes described in JEM 2025,Granted
2022-09-20,exact,2022,patent_priority,WO2024064655 family,Indazole NLRP3 inhibitor priority,BioAge Labs,US priority,2022-09-20,https://patents.google.com/patent/WO2024064655A1,Second-wave indazole/pyrazolopyridine series,
2022-09-29,exact,2022,patent_publication,WO2022204227,Inhibitors of NLRP3 inflammasome,BioAge / HitGen,WIPO WO,WO2022204227A1,https://patents.google.com/patent/WO2022204227A1,First public patent disclosure of BAL indazole series; 382 compounds in merged dataset,Published
2023-01-27,exact,2023,patent_filing,WO2023147468,N-oxide NLRP3 inhibitors filing,BioAge Labs,WIPO PCT,PCT/US2023/061443,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2023147468,N-oxide indazole analogs,
2023-08-03,exact,2023,patent_publication,WO2023147468,N-OXIDE INHIBITORS OF NLRP3 INFLAMMASOME,BioAge Labs,WIPO WO,WO2023147468A1,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2023147468,105 compounds (SMILES repaired); N-oxide variants,Published
2024-02-28,exact,2024,publication_online,BAL-0028,Discovery of indazole NLRP3 inhibitors via DEL,Hartman G et al.,Bioorg Med Chem Lett,10.1016/j.bmcl.2024.129675,https://doi.org/10.1016/j.bmcl.2024.129675,"First peer-reviewed disclosure; DEL IC50=25 nM; SPR KD 104-123 nM; CADD predicts distinct site from MCC950",Published
2024-04-01,exact,2024,publication_print,BAL-0028,Same as above (print issue),Hartman G et al.,BMCL Vol.102,10.1016/j.bmcl.2024.129675,https://doi.org/10.1016/j.bmcl.2024.129675,Formal print publication date,Published
2024-03-28,exact,2024,patent_publication,WO2024064655,Indazole and pyrazolopyridine NLRP3 inhibitors,BioAge Labs,WIPO WO,WO2024064655A1,https://patents.google.com/patent/WO2024064655A1,222 compounds in merged dataset,Published
2024-12-17,exact,2024,preprint_posted,BAL-0028 / BAL-0598,Discovery of potent NLRP3 inhibitors novel mechanism,Wilhelmsen K et al.,bioRxiv,10.1101/2024.12.21.629867,https://doi.org/10.1101/2024.12.21.629867,"Mechanism preprint: THP-1 IC50=57.5 nM; ATPase negative; species selectivity; BAL-0598 in vivo",Preprint
2024-12-21,exact,2024,preprint_doi,BAL-0028 / BAL-0598,Same preprint (DOI date),Wilhelmsen K et al.,bioRxiv,10.1101/2024.12.21.629867,https://doi.org/10.1101/2024.12.21.629867,bioRxiv DOI registration date,Preprint
2025-02-21,exact,2025,structure_deposit,BAL-1516,PDB 9IHN deposited,Torp J et al.,RCSB PDB,9IHN,https://www.rcsb.org/structure/9IHN,Monomer NLRP3-BAL-1516 cryo-EM; refinement from 7PZC,HPUB
2025-02-21,exact,2025,structure_deposit,BAL-1516,PDB 9Q8V deposited,Torp J et al.,RCSB PDB,9Q8V,https://www.rcsb.org/structure/9Q8V,Decamer NLRP3-BAL-1516; 10 ligands per decamer; MCC950 pocket empty,HPUB
2025-07-01,exact,2025,preprint_doi,BAL-1516,Inhibition of NLRP3 by CNS-penetrating indazole scaffold,Torp J et al.,bioRxiv,10.1101/2025.07.01.662566,https://doi.org/10.1101/2025.07.01.662566,First structural resolution of BAL Glu-switch binding site,Preprint
2025-07-04,exact,2025,preprint_posted,BAL-1516,Same preprint posted,Torp J et al.,bioRxiv,10.1101/2025.07.01.662566,https://www.biorxiv.org/content/10.1101/2025.07.01.662566v1,"SPR KD=14.2 nM; ASC speck IC50=14.5 nM; microglia IL-1β IC50=11 nM",Preprint
2025-07-23,exact,2025,publication_accepted,BAL-0028 / BAL-0598,JEM mechanism paper accepted,Wilhelmsen K et al.,J Exp Med,10.1084/jem.20242403,https://doi.org/10.1084/jem.20242403,JEM acceptance date (from article footer),Published
2025-09-02,exact,2025,publication_print,BAL-0028 / BAL-0598,Discovery of potent NLRP3 inhibitors novel mechanism,Wilhelmsen K et al.,J Exp Med Vol.222(11) e20242403,10.1084/jem.20242403,https://doi.org/10.1084/jem.20242403,Formal peer-reviewed mechanism and in vivo characterization,Published
2025-10-02,exact,2025,patent_publication,WO2025207644,Indazole NLRP3 inhibitors (main series),BioAge Labs,WIPO WO,WO2025207644A1,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2025207644,346 compounds in merged dataset; A/B activity classification,Published
2026-03-12,exact,2026,patent_publication,WO2026054623,Novel NLRP3 inhibitor compound,KR applicant,WIPO WO,WO2026054623A1,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2026054623,32 compounds; 9 with nM IC50 (10-26 nM),Published
