pdb_id,release_year,method,species,construct,ligand,ligand_alias,inhibitor_class,binding_site_category,resolution_angstrom,primary_doi,primary_citation,key_finding,rcsb_url,notes
7ALV,2021,X-ray crystallography,Homo sapiens,NACHT domain (residues ~1-550),NP3-146 potent inhibitor,NP3-146,CRID3_MCC950_pocket,CRID3_MCC950_pocket,2.80,10.1016/j.jmb.2021.167309,Dekker et al. JMB 2021,First crystal structure of NLRP3 NACHT with inhibitor; defines inactive glued conformation,https://www.rcsb.org/structure/7ALV,Deposited 2020-10-07; released 2021-10-20
7PZC,2022,Cryo-EM,Homo sapiens,Full-length NLRP3 decamer,ADP + CRID3,MCC950,CRID3_MCC950_pocket,CRID3_MCC950_pocket,~3.3-4.0,10.1038/s41586-022-04467-w,Hochheiser et al. Nature 2022,Landmark inactive decamer structure; CRID3/MCC950 binds Walker A cleft; defines clinical inhibitor pocket,https://www.rcsb.org/structure/7PZC,Also EMDB 13684-13699
7VTP,2022,Cryo-EM,Homo sapiens,PYD-deleted hexamer,ADP + MCC950,MCC950,CRID3_MCC950_pocket,CRID3_MCC950_pocket,~3.5,10.1073/pnas.2121353119,Ohto et al. PNAS 2022 (human entry),Closed inactive hexamer with MCC950; reference for pocket comparisons,https://www.rcsb.org/structure/7VTP,Human PYD-deleted construct
7VTQ,2022,Cryo-EM,Mus musculus,Full-length dodecamer,ADP + MCC950,MCC950,CRID3_MCC950_pocket,CRID3_MCC950_pocket,~3.5,10.1073/pnas.2121353119,Ohto et al. PNAS 2022,Mouse full-length inactive oligomer with MCC950; resting-state model,https://www.rcsb.org/structure/7VTQ,12-mer mouse NLRP3
8ETR,2022,Cryo-EM,Homo sapiens,NACHT domain,G2394,GDC-2394,CRID3_MCC950_pocket,CRID3_MCC950_pocket,~3.5,10.1021/acs.jmedchem.2c01250,Murray & Johnson J Med Chem 2022,Clinical candidate GDC-2394 bound to NACHT,https://www.rcsb.org/structure/8ETR,Released 2022-11-02
8WSM,2023,Cryo-EM,Homo sapiens,MBP-hNLRP3-ΔPYD,ADP + compound 32,NIC-12 / compound C,CRID3_MCC950_pocket,CRID3_MCC950_pocket,~3.0,10.1038/s44321-024-00181-4,Yu et al. EMBO Mol Med 2024,Same pocket as MCC950; distinct linker anchoring (Asp662 vs Arg351),https://www.rcsb.org/structure/8WSM,From phenotypic screen to clinical candidate paper
8RI2,2024,X-ray crystallography,Homo sapiens,NACHT domain,ADP + NP3-562,NP3-562,CRID3_MCC950_pocket (tricyclic),CRID3_MCC950_pocket,2.80,10.1021/acs.jmedchem.3c01556,J Med Chem 2024,Tricyclic chemotype in MCC950 pocket; orally bioavailable lead,https://www.rcsb.org/structure/8RI2,Unique tricyclic scaffold same pocket
8ZEM,2024,X-ray crystallography,Homo sapiens,NACHT domain,ADP + NP3-1,SN3-1,CRID3_MCC950_pocket,CRID3_MCC950_pocket,3.32,10.1038/s44321-024-00181-4,EMBO Mol Med 2024 (related),Halogenated indan sulfonylurea in NACHT pocket,https://www.rcsb.org/structure/8ZEM,Deposited 2024-05-06
9GU4,2025,X-ray crystallography,Homo sapiens,NACHT domain,ADP + NP3-253,NP3-253,CRID3_MCC950_pocket,CRID3_MCC950_pocket,~3.0,10.1021/acs.jmedchem.4c02156,J Med Chem 2025,Brain-penetrant pyridazine series NLRP3 inhibitor structure,https://www.rcsb.org/structure/9GU4,CNS-directed optimization
9SFG,2025,X-ray crystallography,Homo sapiens,NACHT domain,ADP + NP3-742,NP3-742,CRID3_MCC950_pocket,CRID3_MCC950_pocket,3.20,10.1021/acs.jmedchem.5b00012,J Med Chem 2025,Pyridazine-indole NLRP3 inhibitor; reduced hERG vs earlier analogs,https://www.rcsb.org/structure/9SFG,Indole replacement of phenol in pyridazine series
NONE_ORIDONIN,None,None,Homo sapiens,Full-length,Oridonin,Oridonin,NEK7_interface_covalent,NEK7_interface,None,10.1038/s41467-018-04947-6,He et al. Nat Commun 2018,No co-crystal; Cys279 covalent target validated biochemically,N/A,Structure not available as of 2026-07
NONE_TRANILAST,None,None,Homo sapiens,Full-length,Tranilast,Tranilast,Oligomerization_interface,Oligomerization_interface,None,10.15252/emmm.201708689,Huang et al. EMBO MM 2018,No co-crystal; NACHT binding shown by pull-down/MST,N/A,Structure not available
NONE_CY09,None,None,Homo sapiens,NACHT domain,CY-09,CY-09,Walker_A_ATP_pocket,Walker_A_ATP_pocket,None,10.1084/jem.20171419,Jiang et al. JEM 2017,Homology model using NOD2 (5IRM); no NLRP3 co-crystal,N/A,Walker A binding validated by mutagenesis and ATP competition
NONE_BAL0028,None,None,Homo sapiens,NACHT domain,BAL-0028,BAL-0028,Allosteric_FISNA_distinct,Allosteric_FISNA_distinct,None,10.1084/jem.20242403,Wilhelmsen et al. JEM 2025,Distinct from MCC950 pocket by nanoDSF/DARTS; co-crystal pending,N/A,Authors note structural studies ongoing
NONE_RRX001,None,None,Homo sapiens,Full-length,RRx-001,RRx-001,NEK7_interface_covalent,NEK7_interface,None,10.1038/s41423-021-00683-y,Chen et al. Cell Mol Immunol 2021,Cys409 covalent target; no structure,N/A,Structure not available
NONE_4OI,None,None,Mus musculus,Full-length,4-OI,4-octyl itaconate,NEK7_interface_covalent,NEK7_interface,None,10.1016/j.cmet.2020.07.016,Hooftman et al. Cell Metab 2020,Cys548 dicarboxypropylation (mouse); no structure,N/A,Mouse C548; human ortholog debate
