patent_id,activity_raw,ic50_bin_practical,ic50_range_patent_text,n_compounds,top_west_left,top_central_ring_middle,top_alkoxy_middle,top_linker_middle,top_east_right,top_murcko,example_compound_numbers,example_smiles,mean_mw,mean_logp,mean_tpsa
WO2022204227,+,10 μM ≤ IC50 < 50 μM,IC50 < 50 μM,170,phenyl:75; 3-F-phenyl:55; 3-CN-phenyl:24,phenyl:124; pyridine:33; other:13,OEt:103; no_ortho_alkoxy:26; O-cyclopropyl:15,N-Me amide + CH2 linker:131; other_linker:34; chiral benzylic-Me:5,indazole:148; azaindazole:21; other:1,O=C(NCc1cccc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,"1,6,8,15,16,17,18,19,28,32",CCOc1cc(C(=O)N(C)Cc2ccc3nn(C)cc3c2)ccc1-c1cccc(F)c1,410.65,4.34,78.12
WO2022204227,++,1 μM ≤ IC50 < 10 μM,IC50 < 10 μM,98,3-F-phenyl:39; phenyl:22; 3-CN-phenyl:20,phenyl:67; pyridine:30; other:1,OEt:54; O-cyclopropyl:25; no_ortho_alkoxy:9,N-Me amide + CH2 linker:60; other_linker:36; chiral benzylic-Me:2,indazole:56; azaindazole:42,O=C(NCc1cccc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,"2,3,4,5,7,9,10,11,12,13",CCOc1cc(C(=O)N(C)Cc2ccc3[nH]ncc3c2)ccc1-c1cccc(F)c1,427.37,4.49,83.01
WO2022204227,+++,IC50 < 1 μM,IC50 < 1 μM,115,3-F-phenyl:58; 3-CN-phenyl:25; phenyl:21,phenyl:96; pyridine:18; thiophene:1,OEt:74; O-cyclopropyl:29; O-oxetanyl:6,N-Me amide + CH2 linker:70; other_linker:40; chiral benzylic-Me:3,indazole:63; azaindazole:52,O=C(NCc1cccc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,"29,33,36,38,43,44,46,47,49,63",CCOc1cc(C(=O)N(C)Cc2cncc3cn[nH]c23)ccc1-c1cccc(F)c1,428.01,4.66,78.27
WO2023147468,+,10 μM ≤ IC50 < 50 μM,IC50 < 50 μM,5,3-F-phenyl:4; 3-CN-phenyl:1,phenyl:5,OEt:3; no_ortho_alkoxy:1; O-cyclopropyl:1,N-Me amide + CH2 linker:3; other_linker:1; chiral benzylic-Me:1,azaindazole N-oxide:5,O=C(NCc1c[nH+]cc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,"15,18,57,71,73",CCOc1cc(C(=O)N(C)Cc2c[n+]([O-])c(C)c3cn[nH]c23)ccc1-c1cc(F)cc(C#N)c1,458.9,4.04,95.74
WO2023147468,++,1 μM ≤ IC50 < 10 μM,IC50 < 10 μM,36,3-F-phenyl:15; 3-CN-phenyl:9; 3-Cl-phenyl:5,phenyl:36,OEt:22; no_ortho_alkoxy:9; O-cyclopropyl:5,N-Me amide + CH2 linker:20; other_linker:14; chiral benzylic-Me:2,azaindazole N-oxide:36,O=C(NCc1c[nH+]cc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,"6,7,9,11,12,13,17,19,20,21",Cc1c2cn[nH]c2c(CN(C)C(=O)c2ccc(-c3cccc(C#N)c3)c(OC3CC3)c2)c[n+]1[O-],462.51,4.26,91.77
WO2023147468,+++,IC50 < 1 μM,IC50 < 1 μM,34,"3-F-phenyl:17; 3-Cl-phenyl:7; 3,5-diF-phenyl:5",phenyl:33; pyridine:1,OEt:22; no_ortho_alkoxy:6; O-cyclopropyl:5,N-Me amide + CH2 linker:20; other_linker:9; chiral benzylic-Me:3,azaindazole N-oxide:34,O=C(NCc1c[nH+]cc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,"1,2,3,4,5,8,10,14,16,22",CCOc1cc(C(=O)N(C)Cc2c[n+]([O-])cc3cn[nH]c23)ccc1-c1cccc(F)c1,458.86,4.15,90.65
WO2024064655,+,10 μM ≤ IC50 < 50 μM,IC50 < 50 μM,13,3-F-phenyl:10; 3-CN-phenyl:2; 2-thienyl:1,phenyl:9; pyridine:4,OEt:10; O-cyclopropyl:2; no_ortho_alkoxy:1,chiral benzylic-Me:8; N-Me amide + CH2 linker:2; other_linker:2,azaindazole:8; indazole:5,O=C(NCc1cncc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,"5,21,43,44,49,57,58,74,75,80",CCOc1nc(C(=O)N(C)[C@H](C)c2cnc(C)c3cn[nH]c23)ccc1-c1cccc(F)c1,447.65,5.03,80.25
WO2024064655,++,1 μM ≤ IC50 < 10 μM,IC50 < 10 μM,22,3-F-phenyl:12; 2-thienyl:5; 3-CN-phenyl:2,phenyl:21; pyridine:1,OEt:17; O-cyclopropyl:2; no_ortho_alkoxy:2,N-Me amide + CH2 linker:12; chiral benzylic-Me:5; other_linker:4,azaindazole:17; indazole:5,O=C(NCc1cncc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,"8,25,34,45,72,83,85,90,95,103",CCOc1cc(C(=O)N(CC)Cc2cnc(CO)c3cn[nH]c23)ccc1-c1cccc(C#N)c1,449.5,4.66,88.17
WO2024064655,+++,IC50 < 1 μM,IC50 < 1 μM,134,3-F-phenyl:62; 3-Cl-phenyl:32; 3-CN-phenyl:12,phenyl:128; pyridine:5; thiophene:1,OEt:72; O-cyclopropyl:36; no_ortho_alkoxy:20,N-Me amide + CH2 linker:61; other_linker:52; chiral benzylic-Me:10,azaindazole:112; indazole:22,O=C(NCc1cncc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,"1,6,7,9,11,12,13,15,16,17",CCN(Cc1cnc(CO)c2cn[nH]c12)C(=O)c1ccc(-c2cccc(F)c2)c(OC2CC2)c1,458.69,4.81,86.0
WO2025207644,A,IC50 < 100 nM,IC50 < 100 nM,219,3-F-phenyl:111; 3-Cl-phenyl:51; phenyl:31,phenyl:218; other:1,OEt:202; no_ortho_alkoxy:9; O-cyclopropyl:8,chiral benzylic + sidechain:108; chiral benzylic-Me:85; other_linker:24,azaindazole:175; indazole:44,O=C(NCc1cncc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,"1,2,3,4,5,6,7,9,13,14",CCOc1cc(C(=O)N(C)[C@H](CO)c2cncc3cn[nH]c23)ccc1-c1cccc(F)c1,484.1,5.0,80.32
