scale_family,activity_raw,interpretation,practical_ic50_bin,note
"+/++/+++ (WO2022204227, WO2023147468, WO2024064655)",+++,practical bin,IC50 < 1 μM,patent wording is nested; +++ is top bin
"+/++/+++ (WO2022204227, WO2023147468, WO2024064655)",++,practical bin,1 μM ≤ IC50 < 10 μM,inferred exclusive of +++
"+/++/+++ (WO2022204227, WO2023147468, WO2024064655)",+,practical bin,10 μM ≤ IC50 < 50 μM,inferred exclusive of ++/+++
A–E (WO2025207644),A,as written,IC50 < 100 nM,
A–E (WO2025207644),B,as written,100–500 nM,
A–E (WO2025207644),C,as written,500 nM–1 μM,
A–E (WO2025207644),D,as written,1–15 μM,
A–E (WO2025207644),E,as written,> 15 μM,
A/B/C (WO2026054623),A,as written,IC50 < 50 nM,
A/B/C (WO2026054623),B,as written,50–100 nM,
A/B/C (WO2026054623),C,as written / truncated,IC50 > 100 nM,no D/E in this table
