patent_id,compound_number,smiles,activity_raw,activity_score,murcko_scaffold,mw,logp,tpsa,hbd,hba
WO2025207644,001,CCOc1cc(C(=O)N(C)[C@H](CO)c2cncc3cn[nH]c23)ccc1-c1cccc(F)c1,A,3.0,O=C(NCc1cncc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,434.5,3.97,91.3,2,5
WO2025207644,021,CCOc1cc(C(=O)N(C)[C@H](CO)c2cnc(C)c3cn[nH]c23)ccc1-c1cc(C)cc(F)c1,B,2.0,O=C(NCc1cncc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,462.5,4.59,91.3,2,5
WO2025207644,002,CCOc1cc(C(=O)N(C)[C@H](CO)c2cncc3cn[nH]c23)ccc1-c1cc(F)cc(F)c1,A,3.0,O=C(NCc1cncc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,452.5,4.11,91.3,2,5
WO2025207644,022,Cc1ncc([C@@H](CO)N(C)C(=O)c2ccc(-c3cccc(F)c3)c(OC3CC3)c2)c2[nH]ncc12,A,3.0,O=C(NCc1cncc2cn[nH]c12)c1ccc(-c2ccccc2)c(OC2CC2)c1,460.5,4.42,91.3,2,5
WO2025207644,003,CCOc1cc(C(=O)N(C)[C@H](CO)c2cncc3cn[nH]c23)ccc1-c1cc(C)cc(F)c1,A,3.0,O=C(NCc1cncc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,448.5,4.28,91.3,2,5
WO2025207644,023,CCOc1cc(C(=O)N(C)[C@@H](c2cnc(C)c3cn[nH]c23)[C@H](C)O)ccc1-c1cccc(Cl)c1,A,3.0,O=C(NCc1cncc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,479.0,5.18,91.3,2,5
WO2025207644,004,CCOc1cc(C(=O)N(C)[C@H](CO)c2cncc3cn[nH]c23)ccc1-c1cccc(Cl)c1,A,3.0,O=C(NCc1cncc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,450.9,4.48,91.3,2,5
WO2025207644,024,CCOc1cc(C(=O)N(C)[C@@H](c2cnc(C)c3cn[nH]c23)[C@@H](C)O)ccc1-c1cccc(Cl)c1,A,3.0,O=C(NCc1cncc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,479.0,5.18,91.3,2,5
WO2025207644,005,CCOc1cc(C(=O)N(C)[C@H](CO)c2cncc3cn[nH]c23)ccc1-c1ccccc1,A,3.0,O=C(NCc1cncc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,416.5,3.83,91.3,2,5
WO2025207644,025,CCOc1cc(C(=O)N(C)[C@@H](c2cnc(C)c3cn[nH]c23)[C@@H](C)O)ccc1-c1cccc(Cl)c1,A,3.0,O=C(NCc1cncc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,479.0,5.18,91.3,2,5
WO2025207644,006,CN(C(=O)c1ccc(-c2cccc(Cl)c2)c(OC2CC2)c1)[C@H](CO)c1cncc2cn[nH]c12,A,3.0,O=C(NCc1cncc2cn[nH]c12)c1ccc(-c2ccccc2)c(OC2CC2)c1,462.9,4.63,91.3,2,5
WO2025207644,026,Cc1ncc([C@@H](CCO)N(C)C(=O)c2ccc(-c3cccc(Cl)c3)c(OC3CC3)c2)c2[nH]ncc12,A,3.0,O=C(NCc1cncc2cn[nH]c12)c1ccc(-c2ccccc2)c(OC2CC2)c1,491.0,5.32,91.3,2,5
WO2025207644,007,CCOc1cc(C(=O)N(C)[C@H](CCO)c2cncc3cn[nH]c23)ccc1-c1cccc(F)c1,A,3.0,O=C(NCc1cncc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,448.5,4.36,91.3,2,5
WO2025207644,027,CCOc1cc(C(=O)N(C)[C@@H](CO)c2cnc(C)c3cn[nH]c23)ccc1-c1cccc(F)c1,A,3.0,O=C(NCc1cncc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,448.5,4.28,91.3,2,5
WO2025207644,008,CCOc1cc(C(=O)N(C)[C@H](C[C@H](C)O)c2cncc3cn[nH]c23)ccc1-c1cccc(Cl)c1,D,0.0,O=C(NCc1cncc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,479.0,5.26,91.3,2,5
WO2025207644,028,CCOc1cc(C(=O)N(C)[C@@H](CCO)c2cnc(C)c3cn[nH]c23)ccc1-c1ccccc1,E,0.0,O=C(NCc1cncc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,444.5,4.53,91.3,2,5
