region,patent_id,feature,n_compounds,activity_distribution,n_top_bin,top_bin_label,top_bin_ic50_range,frac_top_bin,mean_activity_score,example_compound_numbers,example_smiles
central_alkoxy_middle (中间邻位烷氧基),WO2022204227,O-oxetanyl,9,+++=6; ++=1; +=2,6,+++,IC50 < 1 μM,0.667,2.444,"202,203,204,211,264,267,321,354",CN(Cc1cncc2cn[nH]c12)C(=O)c1cnc(-c2cccc(F)c2)c(OC2COC2)c1
central_alkoxy_middle (中间邻位烷氧基),WO2022204227,O-cyclopropyl,69,+++=29; ++=25; +=15,29,+++,IC50 < 1 μM,0.42,2.203,"85,126,127,128,129,130,131,132",CN(Cc1ccc(F)c2cn[nH]c12)C(=O)c1ccc(-c2cccc(F)c2)c(OC2CC2)n1
central_alkoxy_middle (中间邻位烷氧基),WO2022204227,OEt,231,+++=74; ++=54; +=103,74,+++,IC50 < 1 μM,0.32,1.874,"1,2,3,4,5,6,7,19",CCOc1cc(C(=O)N(C)Cc2ccc3nn(C)cc3c2)ccc1-c1cccc(F)c1
central_alkoxy_middle (中间邻位烷氧基),WO2022204227,no_ortho_alkoxy,39,+++=4; ++=9; +=26,4,+++,IC50 < 1 μM,0.103,1.436,"20,30,31,32,54,55,65,73",CN(Cc1cccc2cn[nH]c12)C(=O)c1ccc(-c2cccc(F)c2)c(OC(F)F)c1
central_alkoxy_middle (中间邻位烷氧基),WO2022204227,O-nPr,22,+++=2; ++=7; +=13,2,+++,IC50 < 1 μM,0.091,1.5,"8,9,10,11,12,13,14,15",CCCOc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)ccc1C1CCC1
central_alkoxy_middle (中间邻位烷氧基),WO2022204227,OMe,13,+++=0; ++=2; +=11,0,+++,IC50 < 1 μM,0.0,1.154,"28,50,56,57,74,86,218,272",COc1ncc(CN(C)C(=O)c2ccc(-c3cccc(C#N)c3)c(OC3CC3)n2)c2[nH]ncc12
central_alkoxy_middle (中间邻位烷氧基),WO2023147468,O-oxetanyl,1,+++=1; ++=0; +=0,1,+++,IC50 < 1 μM,1.0,3.0,28,CN(Cc1c[n+]([O-])c(CF)c2cn[nH]c12)C(=O)c1ccc(-c2cccc(F)c2)c(OC2COC2)c1
central_alkoxy_middle (中间邻位烷氧基),WO2023147468,OEt,47,+++=22; ++=22; +=3,22,+++,IC50 < 1 μM,0.468,2.404,"1,2,3,7,8,9,10,11",CCOc1cc(C(=O)N(C)Cc2c[n+]([O-])cc3cn[nH]c23)ccc1-c1cccc(F)c1
central_alkoxy_middle (中间邻位烷氧基),WO2023147468,O-cyclopropyl,11,+++=5; ++=5; +=1,5,+++,IC50 < 1 μM,0.455,2.364,"4,36,48,49,50,51,56,61",CN(Cc1c[n+]([O-])cc2cn[nH]c12)C(=O)c1ccc(-c2cccc(F)c2)c(OC2CC2)c1
central_alkoxy_middle (中间邻位烷氧基),WO2023147468,no_ortho_alkoxy,16,+++=6; ++=9; +=1,6,+++,IC50 < 1 μM,0.375,2.312,"5,6,12,16,17,25,26,30",Cc1c2cn[nH]c2c(CN(C)C(=O)c2ccc(-c3cccc(F)c3)c(OC3CC3)c2)c[n+]1[O-]
central_alkoxy_middle (中间邻位烷氧基),WO2024064655,O-nPr,3,+++=3; ++=0; +=0,3,+++,IC50 < 1 μM,1.0,3.0,"136,138,147",CCCOc1cc(C(=O)N(C)Cc2cnc(CO)c3cn[nH]c23)cc(F)c1-c1cc(F)cc(F)c1
central_alkoxy_middle (中间邻位烷氧基),WO2024064655,O-cyclopropyl,40,+++=36; ++=2; +=2,36,+++,IC50 < 1 μM,0.9,2.85,"16,18,19,20,21,23,27,28",CCN(Cc1cnc(CO)c2cn[nH]c12)C(=O)c1ccc(-c2cccc(F)c2)c(OC2CC2)c1
central_alkoxy_middle (中间邻位烷氧基),WO2024064655,no_ortho_alkoxy,23,+++=20; ++=2; +=1,20,+++,IC50 < 1 μM,0.87,2.826,"13,34,35,38,48,64,65,80",CC(O)c1ncc(CN(C)C(=O)c2ccc(-c3cccc(Cl)c3)c(OC3CC3)c2)c2[nH]ncc12
central_alkoxy_middle (中间邻位烷氧基),WO2024064655,O-oxetanyl,4,+++=3; ++=1; +=0,3,+++,IC50 < 1 μM,0.75,2.75,"108,151,152,155",CN(Cc1cnc(CO)c2cn[nH]c12)C(=O)c1ccc(-c2cccc(Cl)c2)c(OC2COC2)c1
central_alkoxy_middle (中间邻位烷氧基),WO2024064655,OEt,99,+++=72; ++=17; +=10,72,+++,IC50 < 1 μM,0.727,2.626,"1,5,6,7,8,9,11,12",CCOc1cc(C(=O)N(CC)Cc2cnc(CO)c3cn[nH]c23)ccc1-c1cccc(C#N)c1
central_alkoxy_middle (中间邻位烷氧基),WO2025207644,no_ortho_alkoxy,11,A=9; B=0; C=0; D=0; E=2,9,A,IC50 < 100 nM,0.818,4.273,"22,26,31,34,35,80,167,202",Cc1ncc([C@@H](CO)N(C)C(=O)c2ccc(-c3cccc(F)c3)c(OC3CC3)c2)c2[nH]ncc12
central_alkoxy_middle (中间邻位烷氧基),WO2025207644,OEt,264,A=202; B=27; C=9; D=19; E=7,202,A,IC50 < 100 nM,0.765,4.508,"1,2,3,4,5,7,8,9",CCOc1cc(C(=O)N(C)[C@H](CO)c2cncc3cn[nH]c23)ccc1-c1cccc(F)c1
central_alkoxy_middle (中间邻位烷氧基),WO2025207644,O-cyclopropyl,11,A=8; B=1; C=0; D=2; E=0,8,A,IC50 < 100 nM,0.727,4.364,"6,11,12,73,102,149,165,198",CN(C(=O)c1ccc(-c2cccc(Cl)c2)c(OC2CC2)c1)[C@H](CO)c1cncc2cn[nH]c12
central_alkoxy_middle (中间邻位烷氧基),WO2026054623,no_ortho_alkoxy,1,A=1; B=0; C=0,1,A,IC50 < 50 nM,1.0,5.0,19,CC(C)N1CCC(CN(Cc2ccc(F)c3cn[nH]c23)C(=O)c2ccc(-c3cccc(F)c3)cc2)CC1
central_alkoxy_middle (中间邻位烷氧基),WO2026054623,OEt,25,A=24; B=1; C=0,24,A,IC50 < 50 nM,0.96,4.96,"1,2,3,4,5,6,7,8",CCOc1cc(C(=O)N(Cc2cccc3cnn(COCC[Si](C)(C)C)c23)CC2CCN(c3ccc(N)cc3)CC2)ccc1-c1cccc(C)c1
central_ring_middle (中间芳环),WO2022204227,thiophene,1,+++=1; ++=0; +=0,1,+++,IC50 < 1 μM,1.0,3.0,249,CCOc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)sc1-c1ccccc1
central_ring_middle (中间芳环),WO2022204227,phenyl,287,+++=96; ++=67; +=124,96,+++,IC50 < 1 μM,0.334,1.902,"1,2,3,4,5,6,7,8",CCOc1cc(C(=O)N(C)Cc2ccc3nn(C)cc3c2)ccc1-c1cccc(F)c1
central_ring_middle (中间芳环),WO2022204227,pyridine,81,+++=18; ++=30; +=33,18,+++,IC50 < 1 μM,0.222,1.815,"53,59,66,79,80,81,83,84",CN(Cc1ccc(F)c2cn[nH]c12)C(=O)c1ccc(-c2cccc(F)c2)c(OC2CC2)n1
central_ring_middle (中间芳环),WO2022204227,other,14,+++=0; ++=1; +=13,0,+++,IC50 < 1 μM,0.0,1.071,"89,90,92,94,113,114,115,323",CCOc1cc(CN(C)Cc2cccc3cn[nH]c23)ccc1-c1cccc(F)c1
central_ring_middle (中间芳环),WO2023147468,pyridine,1,+++=1; ++=0; +=0,1,+++,IC50 < 1 μM,1.0,3.0,22,CCOc1cc(C(=O)N(C)Cc2c[n+]([O-])c(C)c3cn[nH]c23)cnc1-c1cccc(F)c1
central_ring_middle (中间芳环),WO2023147468,phenyl,74,+++=33; ++=36; +=5,33,+++,IC50 < 1 μM,0.446,2.378,"1,2,3,4,5,6,7,8",CCOc1cc(C(=O)N(C)Cc2c[n+]([O-])cc3cn[nH]c23)ccc1-c1cccc(F)c1
central_ring_middle (中间芳环),WO2024064655,thiophene,1,+++=1; ++=0; +=0,1,+++,IC50 < 1 μM,1.0,3.0,121,CCOc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)sc1-c1cccc(F)c1
central_ring_middle (中间芳环),WO2024064655,phenyl,158,+++=128; ++=21; +=9,128,+++,IC50 < 1 μM,0.81,2.753,"1,5,6,7,8,9,11,13",CCN(Cc1cnc(CO)c2cn[nH]c12)C(=O)c1ccc(-c2cccc(F)c2)c(OC2CC2)c1
central_ring_middle (中间芳环),WO2024064655,pyridine,10,+++=5; ++=1; +=4,5,+++,IC50 < 1 μM,0.5,2.1,"12,46,50,56,57,74,75,123",CCOc1nc(C(=O)N(C)[C@@H](C)c2cnc(C)c3cn[nH]c23)ccc1-c1cccc(F)c1
