region,patent_id,feature,n,n_+,pct_+,n_++,pct_++,n_+++,pct_+++,n_A,pct_A,n_B,pct_B,n_C,pct_C,n_D,pct_D,n_E,pct_E
west_left,WO2022204227,2-F-phenyl,5,4.0,80.0,1.0,20.0,0.0,0.0,,,,,,,,,,
west_left,WO2022204227,2-thienyl,13,2.0,15.4,8.0,61.5,3.0,23.1,,,,,,,,,,
west_left,WO2022204227,"3,5-diF-phenyl",12,3.0,25.0,5.0,41.7,4.0,33.3,,,,,,,,,,
west_left,WO2022204227,3-CF3-phenyl,4,1.0,25.0,2.0,50.0,1.0,25.0,,,,,,,,,,
west_left,WO2022204227,3-CN-phenyl,69,24.0,34.8,20.0,29.0,25.0,36.2,,,,,,,,,,
west_left,WO2022204227,3-Cl-phenyl,1,1.0,100.0,0.0,0.0,0.0,0.0,,,,,,,,,,
west_left,WO2022204227,3-F-phenyl,152,55.0,36.2,39.0,25.7,58.0,38.2,,,,,,,,,,
west_left,WO2022204227,3-thienyl,3,0.0,0.0,0.0,0.0,3.0,100.0,,,,,,,,,,
west_left,WO2022204227,phenyl,118,75.0,63.6,22.0,18.6,21.0,17.8,,,,,,,,,,
west_left,WO2022204227,pyridinyl,4,4.0,100.0,0.0,0.0,0.0,0.0,,,,,,,,,,
west_left,WO2022204227,thiazolyl,2,1.0,50.0,1.0,50.0,0.0,0.0,,,,,,,,,,
west_left,WO2023147468,2-F-phenyl,1,0.0,0.0,1.0,100.0,0.0,0.0,,,,,,,,,,
west_left,WO2023147468,2-thienyl,2,0.0,0.0,1.0,50.0,1.0,50.0,,,,,,,,,,
west_left,WO2023147468,"3,5-diF-phenyl",7,0.0,0.0,2.0,28.6,5.0,71.4,,,,,,,,,,
west_left,WO2023147468,3-CF3-phenyl,1,0.0,0.0,1.0,100.0,0.0,0.0,,,,,,,,,,
west_left,WO2023147468,3-CN-phenyl,13,1.0,7.7,9.0,69.2,3.0,23.1,,,,,,,,,,
west_left,WO2023147468,3-Cl-phenyl,12,0.0,0.0,5.0,41.7,7.0,58.3,,,,,,,,,,
west_left,WO2023147468,3-F-phenyl,36,4.0,11.1,15.0,41.7,17.0,47.2,,,,,,,,,,
west_left,WO2023147468,phenyl,3,0.0,0.0,2.0,66.7,1.0,33.3,,,,,,,,,,
west_left,WO2024064655,2-thienyl,15,1.0,6.7,5.0,33.3,9.0,60.0,,,,,,,,,,
west_left,WO2024064655,"3,5-diF-phenyl",10,0.0,0.0,1.0,10.0,9.0,90.0,,,,,,,,,,
west_left,WO2024064655,3-CF3-phenyl,1,0.0,0.0,0.0,0.0,1.0,100.0,,,,,,,,,,
west_left,WO2024064655,3-CN-phenyl,16,2.0,12.5,2.0,12.5,12.0,75.0,,,,,,,,,,
west_left,WO2024064655,3-Cl-phenyl,33,0.0,0.0,1.0,3.0,32.0,97.0,,,,,,,,,,
west_left,WO2024064655,3-F-phenyl,84,10.0,11.9,12.0,14.3,62.0,73.8,,,,,,,,,,
