patent_id,compound_number,fix_tag,smiles_raw,smiles_fixed
WO2022204227,100,manual_n_methyl_indazole,CCOC1=CC(C(=O)N(C)CC2=CC=C3N=N(C)C=C3C=2)=CC=C1C1=CC=CC(F)=C1,CCOc1cc(C(=O)N(C)Cc2ccc3nn(C)cc3c2)ccc1-c1cccc(F)c1
WO2023147468,1,n_oxide,CCOC1=CC(C(=O)N(C)CC2=CN(O)=CC3=C2NN=C3)=CC=C1C1=CC(F)=CC=C1,CCOc1cc(C(=O)N(C)Cc2c[n+]([O-])cc3cn[nH]c23)ccc1-c1cccc(F)c1
WO2023147468,2,n_oxide,CCOC1=CC(C(=O)N(C)CC2=CN(O)=C(C)C3=C2NN=C3)=CC=C1C1=CC=CC(F)=C1,CCOc1cc(C(=O)N(C)Cc2c[n+]([O-])c(C)c3cn[nH]c23)ccc1-c1cccc(F)c1
WO2023147468,3,n_oxide,CCOC1=CC(C(=O)N(C)C(C)C2=CN(O)=CC3=C2NN=C3)=CC=C1C1=CC(F)=CC=C1,CCOc1cc(C(=O)N(C)C(C)c2c[n+]([O-])cc3cn[nH]c23)ccc1-c1cccc(F)c1
WO2023147468,4,n_oxide,CN(CC1=CN([O-])=CC2=C1NN=C2)C(=O)C1=CC=C(C2=CC(F)=CC=C2)C(OC2CC2)=C1,CN(Cc1c[n+]([O-])cc2cn[nH]c12)C(=O)c1ccc(-c2cccc(F)c2)c(OC2CC2)c1
WO2023147468,5,n_oxide,CC1=N(O)C=C(CN(C)C(=O)C2=CC=C(C3=CC=CC(F)=C3)C(OC3CC3)=C2)C2=C1C=NN2,Cc1c2cn[nH]c2c(CN(C)C(=O)c2ccc(-c3cccc(F)c3)c(OC3CC3)c2)c[n+]1[O-]
WO2023147468,6,n_oxide,CC1=N(O)C=C(CN(C)C(=O)C2=CC=C(C3=CC=CC(C#N)=C3)C(OC3CC3)=C2)C2=C1C=NN2,Cc1c2cn[nH]c2c(CN(C)C(=O)c2ccc(-c3cccc(C#N)c3)c(OC3CC3)c2)c[n+]1[O-]
WO2023147468,7,n_oxide,CCOC1=CC(C(=O)N(C)CC2=CN(O)=C(C)C3=C2NN=C3)=CC=C1C1=CC(C#N)=CC=C1,CCOc1cc(C(=O)N(C)Cc2c[n+]([O-])c(C)c3cn[nH]c23)ccc1-c1cccc(C#N)c1
WO2023147468,8,n_oxide,CCOC1=CC(C(=O)N(C)CC2=CN(O)=C(C)C3=C2NN=C3)=CC=C1C1=CC(C#N)=CS1,CCOc1cc(C(=O)N(C)Cc2c[n+]([O-])c(C)c3cn[nH]c23)ccc1-c1cc(C#N)cs1
WO2023147468,9,n_oxide,CCOC1=C(C)C(C(=O)N(C)CC2=CN(O)=C(C)C3=C2NN=C3)=CC=C1C1=CC=CC(F)=C1,CCOc1c(-c2cccc(F)c2)ccc(C(=O)N(C)Cc2c[n+]([O-])c(C)c3cn[nH]c23)c1C
WO2023147468,10,n_oxide,CCOC1=CC(C(=O)N(C)CC2=CN(O)=C(C)C3=C2NN=C3)=CC(F)=C1C1=CC(F)=CC=C1,CCOc1cc(C(=O)N(C)Cc2c[n+]([O-])c(C)c3cn[nH]c23)cc(F)c1-c1cccc(F)c1
WO2023147468,11,n_oxide,CCOC1=CC(C(=O)N(C)CC2=CN(O)=C(C)C3=C2NN=C3)=CC(F)=C1C1=CC(C#N)=CC=C1,CCOc1cc(C(=O)N(C)Cc2c[n+]([O-])c(C)c3cn[nH]c23)cc(F)c1-c1cccc(C#N)c1
WO2023147468,12,n_oxide,CC1=N(O)C=C(CN(C)C(=O)C2=CC(F)=C(C3=CC(C#N)=CC=C3)C(OC3CC3)=C2)C2=C1C=NN2,Cc1c2cn[nH]c2c(CN(C)C(=O)c2cc(F)c(-c3cccc(C#N)c3)c(OC3CC3)c2)c[n+]1[O-]
WO2023147468,13,n_oxide,CCOC1=CC(C(=O)N(C)CC2=C(C)N(O)=CC3=C2NN=C3)=CC=C1C1=CC=CC(F)=C1,CCOc1cc(C(=O)N(C)Cc2c(C)[n+]([O-])cc3cn[nH]c23)ccc1-c1cccc(F)c1
WO2023147468,14,n_oxide,CCOC1=CC(C(=O)N(C)CC2=CN(O)=C(C)C3=C2NN=C3)=CC=C1C1=CC(F)=CC(F)=C1,CCOc1cc(C(=O)N(C)Cc2c[n+]([O-])c(C)c3cn[nH]c23)ccc1-c1cc(F)cc(F)c1
WO2023147468,15,n_oxide,CCOC1=CC(C(=O)N(C)CC2=CN(O)=C(C)C3=C2NN=C3)=CC=C1C1=CC(F)=CC(C#N)=C1,CCOc1cc(C(=O)N(C)Cc2c[n+]([O-])c(C)c3cn[nH]c23)ccc1-c1cc(F)cc(C#N)c1
WO2023147468,16,n_oxide,CC1=N(O)C=C(CN(C)C(=O)C2=CC=C(C3=CC(F)=CC(F)=C3)C(OC3CC3)=C2)C2=C1C=NN2,Cc1c2cn[nH]c2c(CN(C)C(=O)c2ccc(-c3cc(F)cc(F)c3)c(OC3CC3)c2)c[n+]1[O-]
WO2023147468,17,n_oxide,CC1=N(O)C=C(CN(C)C(=O)C2=CC=C(C3=CC(F)=C(F)C=C3)C(OC3CC3)=C2)C2=C1C=NN2,Cc1c2cn[nH]c2c(CN(C)C(=O)c2ccc(-c3ccc(F)c(F)c3)c(OC3CC3)c2)c[n+]1[O-]
WO2023147468,18,n_oxide,CCOC1=CC(C(=O)N(C)CC2=CN(O)=C(C)C3=C2NN=C3)=CC=C1C1=CC=C(F)C(C(=O)NC)=C1,CCOc1cc(C(=O)N(C)Cc2c[n+]([O-])c(C)c3cn[nH]c23)ccc1-c1ccc(F)c(C(=O)NC)c1
WO2023147468,19,n_oxide,CCOC1=CC(C(=O)N(C)CC2=CN(O)=C(C)C3=C2NN=C3)=CC=C1C1=CC(C(F)(F)F)=CC=C1,CCOc1cc(C(=O)N(C)Cc2c[n+]([O-])c(C)c3cn[nH]c23)ccc1-c1cccc(C(F)(F)F)c1
