id,parent_id,parent_source,smiles,inchikey,core_smiles,mw,clogp,rb,sa,reactivity_bucket,pains_flag,n_acrylamide,max_tc_full,max_tc_core,nearest_anchor_full,nearest_anchor_core,erg_max,nearest_erg,murcko,same_scaffold_as,hinge_hits,tc_full_YL5084,tc_core_YL5084,erg_YL5084,tc_full_YL2056,tc_core_YL2056,erg_YL2056,tc_full_JNK-IN-8,tc_core_JNK-IN-8,erg_JNK-IN-8,tc_full_56d,tc_core_56d,erg_56d,track,subtrack,discard_reason
CHEMBL306862_ACR0,CHEMBL306862,chembl,C=CC(=O)NCc1nc2cc(NC(=O)c3ccccc3OCc3ccccc3)ccc2[nH]1,OEBNDYGQZQEELZ-UHFFFAOYSA-N,NCc1nc2cc(NC(=O)c3ccccc3OCc3ccccc3)ccc2[nH]1,426.48,4.20,8,2.240,ok,0,1,0.2473,0.2159,56d,JNK-IN-8,0.8845,56d,O=C(Nc1ccc2[nH]cnc2c1)c1ccccc1OCc1ccccc1,,1,0.1610,0.1373,0.6878,0.1624,0.1400,0.6878,0.2019,0.2159,0.7442,0.2473,0.2045,0.8845,novel,novel,
CHEMBL3671237_ACR0,CHEMBL3671237,chembl,C=CC(=O)NCC(=O)Nc1ccc(N2CC(CNC(=O)c3ccc(Cl)s3)OC2=O)cc1,OUPMIMITFNXSHZ-UHFFFAOYSA-N,NCC(=O)Nc1ccc(N2CC(CNC(=O)c3ccc(Cl)s3)OC2=O)cc1,462.92,2.40,8,2.955,ok,0,1,0.1939,0.1489,56d,56d,0.8788,56d,O=C(NCC1CN(c2ccccc2)C(=O)O1)c1cccs1,,0,0.1500,0.1238,0.7316,0.1513,0.1262,0.7316,0.1351,0.1474,0.8030,0.1939,0.1489,0.8788,novel,novel,
CHEMBL3410050_ACR0,CHEMBL3410050,chembl,C=CC(=O)NCCN(C(=O)Nc1ccc(-c2ncnc3[nH]cc(C)c23)cc1)c1ccc(Cl)cc1,JPNFRPCSSHSYNP-UHFFFAOYSA-N,Cc1c[nH]c2ncnc(-c3ccc(NC(=O)N(CCN)c4ccc(Cl)cc4)cc3)c12,474.95,4.93,7,2.757,ok,0,1,0.1864,0.1828,YL2056,JNK-IN-8,0.8774,56d,O=C(Nc1ccccc1)Nc1ccc(-c2ncnc3[nH]ccc23)cc1,,0,0.1750,0.1333,0.6742,0.1864,0.1250,0.6742,0.1835,0.1828,0.8130,0.1538,0.1122,0.8774,novel,novel,
CHEMBL385215_ACR0,CHEMBL385215,chembl,C=CC(=O)NCCNC(=O)c1ccc(Oc2ccc(C)c(C)c2)c(NC(=O)CCc2ccccc2)c1,WGQXVMHFDUNJTB-UHFFFAOYSA-N,Cc1ccc(Oc2ccc(C(=O)NCCN)cc2NC(=O)CCc2ccccc2)cc1C,485.58,4.70,11,2.257,ok,0,1,0.2188,0.1935,56d,JNK-IN-8,0.8721,56d,O=C(CCc1ccccc1)Nc1ccccc1Oc1ccccc1,,0,0.1405,0.1321,0.6848,0.1417,0.1238,0.6848,0.1887,0.1935,0.7585,0.2188,0.1702,0.8721,novel,novel,
CHEMBL404224_ACR0,CHEMBL404224,chembl,C=CC(=O)NC[C@@H]1Cn2c(cc3ccc(C(=O)Nc4nccs4)cc32)C(=O)N1,NQMWBJODTBCKDC-CYBMUJFWSA-N,NC[C@@H]1Cn2c(cc3ccc(C(=O)Nc4nccs4)cc32)C(=O)N1,395.44,1.76,5,3.416,ok,0,1,0.2371,0.1935,56d,56d,0.8711,56d,O=C(Nc1nccs1)c1ccc2cc3n(c2c1)CCNC3=O,,0,0.1849,0.1863,0.7270,0.1864,0.1900,0.7270,0.1835,0.1915,0.7715,0.2371,0.1935,0.8711,novel,novel,
CHEMBL257888_ACR0,CHEMBL257888,chembl,C=CC(=O)NC[C@H]1Cn2c(cc3ccc(C(=O)Nc4nccs4)cc32)C(=O)N1,NQMWBJODTBCKDC-ZDUSSCGKSA-N,NC[C@H]1Cn2c(cc3ccc(C(=O)Nc4nccs4)cc32)C(=O)N1,395.44,1.76,5,3.416,ok,0,1,0.2371,0.1935,56d,56d,0.8711,56d,O=C(Nc1nccs1)c1ccc2cc3n(c2c1)CCNC3=O,,0,0.1849,0.1863,0.7270,0.1864,0.1900,0.7270,0.1835,0.1915,0.7715,0.2371,0.1935,0.8711,novel,novel,
CHEMBL255873_ACR1,CHEMBL255873,chembl,C=CC(=O)N1CCC(Nc2cccc(-c3cnc4ccc(C#N)cn34)n2)CC1,PLNVRHQDEYODCI-UHFFFAOYSA-N,N#Cc1ccc2ncc(-c3cccc(NC4CCNCC4)n3)n2c1,372.43,2.86,4,2.848,ok,0,1,0.2054,0.1562,YL2056,YL2056,0.8706,YL5084,c1cc(NC2CCNCC2)nc(-c2cnc3ccccn23)c1,,1,0.1624,0.1300,0.8706,0.2054,0.1562,0.8706,0.1481,0.1183,0.7187,0.1856,0.1196,0.5727,novel,novel,
CHEMBL403210_ACR1,CHEMBL403210,chembl,C=CC(=O)N1CCC[C@@H](Nc2cccc(-c3cnc4ccc(C#N)cn34)n2)C1,CVCXHQVQQWZATN-MRXNPFEDSA-N,N#Cc1ccc2ncc(-c3cccc(N[C@@H]4CCCNC4)n3)n2c1,372.43,2.86,4,3.314,ok,0,1,0.2087,0.1500,YL2056,YL2056,0.8706,YL5084,c1cc(N[C@@H]2CCCNC2)nc(-c2cnc3ccccn23)c1,,1,0.1570,0.1250,0.8706,0.2087,0.1500,0.8706,0.1327,0.1134,0.7187,0.1782,0.1146,0.5727,novel,novel,
CHEMBL2324343_ACR0,CHEMBL2324343,chembl,C=CC(=O)NC[C@@H](C)n1ccc2c(NC(=O)Cc3ccc(C(F)(F)F)c(F)c3)c(C)ccc2c1=O,QVJPBFVUTCDGQE-OAHLLOKOSA-N,Cc1ccc2c(=O)n([C@H](C)CN)ccc2c1NC(=O)Cc1ccc(C(F)(F)F)c(F)c1,489.47,4.51,7,3.270,ok,0,1,0.1604,0.1287,56d,JNK-IN-8,0.8699,56d,O=C(Cc1ccccc1)Nc1cccc2c(=O)[nH]ccc12,,1,0.1077,0.0982,0.6888,0.1085,0.0901,0.6888,0.1282,0.1287,0.7526,0.1604,0.1188,0.8699,novel,novel,
CHEMBL3094458_ACR0,CHEMBL3094458,chembl,C=CC(=O)NCCCNC(=O)c1ccc(Cl)c(NC(=O)c2cc3cnc(OC)nc3[nH]c2=O)c1,BPYKRELYJCXMOK-UHFFFAOYSA-N,COc1ncc2cc(C(=O)Nc3cc(C(=O)NCCCN)ccc3Cl)c(=O)[nH]c2n1,484.90,1.65,9,2.696,ok,0,1,0.2323,0.2083,56d,JNK-IN-8,0.8678,JNK-IN-8,O=C(Nc1ccccc1)c1cc2cncnc2[nH]c1=O,,1,0.1440,0.1261,0.7243,0.1452,0.1182,0.7243,0.2018,0.2083,0.8678,0.2323,0.1856,0.8106,novel,novel,
