id,smiles,core_smiles,max_tc_core,max_tc_full,erg_max,hinge_hits,nearest_anchor_core,mw,clogp,sa,reactivity_bucket,parent_source,stratum,pains_flag,nearest_erg,murcko,review_note,keep
CHEMBL306862_ACR0,C=CC(=O)NCc1nc2cc(NC(=O)c3ccccc3OCc3ccccc3)ccc2[nH]1,NCc1nc2cc(NC(=O)c3ccccc3OCc3ccccc3)ccc2[nH]1,0.2159,0.2473,0.8845,1,JNK-IN-8,426.48,4.2,2.24,ok,chembl,erg_top15,0,56d,O=C(Nc1ccc2[nH]cnc2c1)c1ccccc1OCc1ccccc1,benzimidazole amide; classic hinge; warhead on CH2 OK,yes
CHEMBL3671237_ACR0,C=CC(=O)NCC(=O)Nc1ccc(N2CC(CNC(=O)c3ccc(Cl)s3)OC2=O)cc1,NCC(=O)Nc1ccc(N2CC(CNC(=O)c3ccc(Cl)s3)OC2=O)cc1,0.1489,0.1939,0.8788,0,56d,462.92,2.4,2.955,ok,chembl,erg_top15,0,56d,O=C(NCC1CN(c2ccccc2)C(=O)O1)c1cccs1,"oxazolidinone/thiophene; antibacterial-like, weak ATP hinge",no
CHEMBL3410050_ACR0,C=CC(=O)NCCN(C(=O)Nc1ccc(-c2ncnc3[nH]cc(C)c23)cc1)c1ccc(Cl)cc1,Cc1c[nH]c2ncnc(-c3ccc(NC(=O)N(CCN)c4ccc(Cl)cc4)cc3)c12,0.1828,0.1864,0.8774,0,JNK-IN-8,474.95,4.93,2.757,ok,chembl,erg_top15,0,56d,O=C(Nc1ccccc1)Nc1ccc(-c2ncnc3[nH]ccc23)cc1,"pyrrolo[2,3-d]pyrimidine biaryl urea; hinge FN in flag; kinase-like",yes
CHEMBL385215_ACR0,C=CC(=O)NCCNC(=O)c1ccc(Oc2ccc(C)c(C)c2)c(NC(=O)CCc2ccccc2)c1,Cc1ccc(Oc2ccc(C(=O)NCCN)cc2NC(=O)CCc2ccccc2)cc1C,0.1935,0.2188,0.8721,0,JNK-IN-8,485.58,4.7,2.257,ok,chembl,erg_top15,0,56d,O=C(CCc1ccccc1)Nc1ccccc1Oc1ccccc1,diaryl ether + phenethyl amide; no clear hinge heteroaryl,no
CHEMBL404224_ACR0,C=CC(=O)NC[C@@H]1Cn2c(cc3ccc(C(=O)Nc4nccs4)cc32)C(=O)N1,NC[C@@H]1Cn2c(cc3ccc(C(=O)Nc4nccs4)cc32)C(=O)N1,0.1935,0.2371,0.8711,0,56d,395.44,1.76,3.416,ok,chembl,erg_top15,0,56d,O=C(Nc1nccs1)c1ccc2cc3n(c2c1)CCNC3=O,fused indole-diketopiperazine + thiazole; atypical ATP scaffold,unsure
CHEMBL257888_ACR0,C=CC(=O)NC[C@H]1Cn2c(cc3ccc(C(=O)Nc4nccs4)cc32)C(=O)N1,NC[C@H]1Cn2c(cc3ccc(C(=O)Nc4nccs4)cc32)C(=O)N1,0.1935,0.2371,0.8711,0,56d,395.44,1.76,3.416,ok,chembl,erg_top15,0,56d,O=C(Nc1nccs1)c1ccc2cc3n(c2c1)CCNC3=O,enantiomer of 404224; same atypical scaffold,unsure
CHEMBL255873_ACR1,C=CC(=O)N1CCC(Nc2cccc(-c3cnc4ccc(C#N)cn34)n2)CC1,N#Cc1ccc2ncc(-c3cccc(NC4CCNCC4)n3)n2c1,0.1562,0.2054,0.8706,1,YL2056,372.43,2.86,2.848,ok,chembl,erg_top15,0,YL5084,c1cc(NC2CCNCC2)nc(-c2cnc3ccccn23)c1,imidazopyridine + aminopyridine; kinase-like; piperidine acrylamide vector OK,yes
CHEMBL403210_ACR1,C=CC(=O)N1CCC[C@@H](Nc2cccc(-c3cnc4ccc(C#N)cn34)n2)C1,N#Cc1ccc2ncc(-c3cccc(N[C@@H]4CCCNC4)n3)n2c1,0.15,0.2087,0.8706,1,YL2056,372.43,2.86,3.314,ok,chembl,erg_top15,0,YL5084,c1cc(N[C@@H]2CCCNC2)nc(-c2cnc3ccccn23)c1,same chemotype as 255873; regioisomeric piperidine warhead,yes
CHEMBL2324343_ACR0,C=CC(=O)NC[C@@H](C)n1ccc2c(NC(=O)Cc3ccc(C(F)(F)F)c(F)c3)c(C)ccc2c1=O,Cc1ccc2c(=O)n([C@H](C)CN)ccc2c1NC(=O)Cc1ccc(C(F)(F)F)c(F)c1,0.1287,0.1604,0.8699,1,JNK-IN-8,489.47,4.51,3.27,ok,chembl,erg_top15,0,56d,O=C(Cc1ccccc1)Nc1cccc2c(=O)[nH]ccc12,isoquinolinone amide; plausible hinge; N-alkyl acrylamide OK,yes
CHEMBL3094458_ACR0,C=CC(=O)NCCCNC(=O)c1ccc(Cl)c(NC(=O)c2cc3cnc(OC)nc3[nH]c2=O)c1,COc1ncc2cc(C(=O)Nc3cc(C(=O)NCCCN)ccc3Cl)c(=O)[nH]c2n1,0.2083,0.2323,0.8678,1,JNK-IN-8,484.9,1.65,2.696,ok,chembl,erg_top15,0,JNK-IN-8,O=C(Nc1ccccc1)c1cc2cncnc2[nH]c1=O,pyridopyrimidinone hinge; clear kinase chemotype,yes
CHEMBL429922_ACR0,C=CC(=O)NCC1CNC(=O)c2cc3ccc(C(=O)Nc4nccs4)cc3n2C1,NCC1CNC(=O)c2cc3ccc(C(=O)Nc4nccs4)cc3n2C1,0.2174,0.2474,0.8664,0,56d,409.47,2.01,3.384,ok,chembl,erg_top15,0,56d,O=C(Nc1nccs1)c1ccc2cc3n(c2c1)CCCNC3=O,same fused family as 404224; atypical for ATP site,unsure
CHEMBL582788_ACR0,C=CC(=O)N[C@@H](C)C(=O)Nc1nc2c(s1)CCCCC2C(=O)NC1CCCc2ccccc21,C[C@H](N)C(=O)Nc1nc2c(s1)CCCCC2C(=O)NC1CCCc2ccccc21,0.1524,0.1827,0.8642,0,YL2056,466.61,3.78,3.612,ok,chembl,erg_top15,0,56d,O=C(NC1CCCc2ccccc21)C1CCCCc2scnc21,tetrahydrobenzothiazole + tetralin; peptidic Ala-acrylamide; not kinase-like,no
CHEMBL565611_ACR0,C=CC(=O)N[C@@H](C)C(=O)Nc1nc2c(s1)CCC2C(=O)NC1CCCc2ccccc21,C[C@H](N)C(=O)Nc1nc2c(s1)CCC2C(=O)NC1CCCc2ccccc21,0.1553,0.1863,0.8642,0,YL2056,438.55,3.0,3.614,ok,chembl,erg_top15,0,56d,O=C(NC1CCCc2ccccc21)C1CCc2scnc21,close analog of 582788; same rejection,no
CHEMBL3139624_ACR0,C=CC(=O)NCCCOc1cccc(C(=O)Nc2sc3c(c2C#N)CCCC3)c1,N#Cc1c(NC(=O)c2cccc(OCCCN)c2)sc2c1CCCC2,0.2111,0.2421,0.8626,0,JNK-IN-8,409.51,3.82,2.421,ok,chembl,erg_top15,0,56d,O=C(Nc1cc2c(s1)CCCC2)c1ccccc1,cyano-tetrahydrobenzothiophene amide; known kinase-adjacent hinge mimic,yes
CHEMBL3112630_ACR0,C=CC(=O)NCCCOc1ccc(Cl)c(C(=O)Nc2sc3c(c2C#N)CCCC3)c1,N#Cc1c(NC(=O)c2cc(OCCCN)ccc2Cl)sc2c1CCCC2,0.1313,0.1635,0.8626,0,JNK-IN-8,443.96,4.48,2.504,ok,chembl,erg_top15,0,56d,O=C(Nc1cc2c(s1)CCCC2)c1ccccc1,chloro analog of 3139624; same keep rationale,yes
