id,parent_id,parent_source,smiles,inchikey,core_smiles,mw,clogp,rb,sa,reactivity_bucket,pains_flag,n_acrylamide,max_tc_full,max_tc_core,nearest_anchor_full,nearest_anchor_core,erg_max,nearest_erg,murcko,same_scaffold_as,hinge_hits,tc_full_YL5084,tc_core_YL5084,erg_YL5084,tc_full_YL2056,tc_core_YL2056,erg_YL2056,tc_full_JNK-IN-8,tc_core_JNK-IN-8,erg_JNK-IN-8,tc_full_56d,tc_core_56d,erg_56d,track,subtrack,discard_reason,react2,react2_reason
CHEMBL59099_ACR0,CHEMBL59099,chembl,C=CC(=O)NCCCNC(=O)c1cccc(Nc2nccc(-c3cccnc3)n2)c1,UMTLJIZLNXMOBO-UHFFFAOYSA-N,NCCCNC(=O)c1cccc(Nc2nccc(-c3cccnc3)n2)c1,402.46,2.7,9,2.347,ok,0,1,0.5062,0.5286,JNK-IN-8,JNK-IN-8,0.9334,JNK-IN-8,c1ccc(Nc2nccc(-c3cccnc3)n2)cc1,,1,0.2294,0.234,0.773,0.2315,0.2391,0.773,0.5062,0.5286,0.9334,0.314,0.2471,0.7298,pan,pan_jnkin8,,ok,
CHEMBL4093611_ACR0,CHEMBL4093611,chembl,C=CC(=O)NCCCC(=O)Nc1cccc(-c2ccnc(NC(C)=O)n2)c1,SBCWCWRSDBSSSC-UHFFFAOYSA-N,CC(=O)Nc1nccc(-c2cccc(NC(=O)CCCN)c2)n1,367.41,2.12,8,2.301,ok,0,1,0.3444,0.3784,JNK-IN-8,JNK-IN-8,0.8156,56d,c1ccc(-c2ccncn2)cc1,,0,0.243,0.2472,0.6919,0.2453,0.2386,0.6919,0.3444,0.3784,0.8021,0.2584,0.2169,0.8156,pan,pan_jnkin8,,ok,
CHEMBL4076836_ACR0,CHEMBL4076836,chembl,C=CC(=O)N[C@@H](CN)C(=O)Nc1cccc(-c2ccnc(NC(C)=O)n2)c1,QRGAKPSGBNGBCR-HNNXBMFYSA-N,CC(=O)Nc1nccc(-c2cccc(NC(=O)[C@@H](N)CN)c2)n1,368.4,0.67,7,2.91,ok,0,1,0.3483,0.3784,JNK-IN-8,JNK-IN-8,0.7363,56d,c1ccc(-c2ccncn2)cc1,,0,0.2453,0.2472,0.6507,0.2476,0.2386,0.6507,0.3483,0.3784,0.7278,0.2614,0.2169,0.7363,pan,pan_jnkin8,,ok,
CHEMBL4076836_ACR1,CHEMBL4076836,chembl,C=CC(=O)NC[C@H](N)C(=O)Nc1cccc(-c2ccnc(NC(C)=O)n2)c1,PUGSITJUJOZAKJ-AWEZNQCLSA-N,CC(=O)Nc1nccc(-c2cccc(NC(=O)[C@@H](N)CN)c2)n1,368.4,0.67,7,2.911,ok,0,1,0.3444,0.3784,JNK-IN-8,JNK-IN-8,0.7546,56d,c1ccc(-c2ccncn2)cc1,,0,0.243,0.2472,0.6522,0.2453,0.2386,0.6522,0.3444,0.3784,0.7382,0.2584,0.2169,0.7546,pan,pan_jnkin8,,ok,
CHEMBL3653365_ACR0,CHEMBL3653365,chembl,C=CC(=O)NC1=NC(C)(c2cccc(NC(=O)c3cccnc3)c2)COC1,OGRLFPATXQOCFI-UHFFFAOYSA-N,CC1(c2cccc(NC(=O)c3cccnc3)c2)COCC(N)=N1,364.41,2.28,4,3.232,ok,0,1,0.3412,0.3718,56d,JNK-IN-8,0.7534,56d,O=C(Nc1cccc(C2COCC=N2)c1)c1cccnc1,,1,0.1441,0.1485,0.7147,0.1453,0.14,0.7147,0.3226,0.3718,0.735,0.3412,0.2927,0.7534,pan,pan_jnkin8,,ok,
CHEMBL4104947_ACR0,CHEMBL4104947,chembl,C=CC(=O)NCCCCCC(=O)Nc1cccc(-c2ccnc(NC(C)=O)n2)c1,KJTSVBVHYXAMAV-UHFFFAOYSA-N,CC(=O)Nc1nccc(-c2cccc(NC(=O)CCCCCN)c2)n1,395.46,2.9,10,2.332,ok,0,1,0.337,0.3684,JNK-IN-8,JNK-IN-8,0.7477,56d,c1ccc(-c2ccncn2)cc1,,0,0.2385,0.2418,0.6387,0.2407,0.2333,0.6387,0.337,0.3684,0.7063,0.2527,0.2118,0.7477,pan,pan_jnkin8,,ok,
CHEMBL403227_ACR0,CHEMBL403227,chembl,C=CC(=O)NCc1ccc(-c2ccc(N)c(NC(=O)c3cccnc3)c2)cc1,ARSWYFGFZZFGCI-UHFFFAOYSA-N,NCc1ccc(-c2ccc(N)c(NC(=O)c3cccnc3)c2)cc1,372.43,3.39,6,2.158,ok,0,1,0.2826,0.3562,JNK-IN-8,JNK-IN-8,0.7917,56d,O=C(Nc1cccc(-c2ccccc2)c1)c1cccnc1,,1,0.1504,0.1613,0.7105,0.1518,0.1648,0.7105,0.2826,0.3562,0.7615,0.2824,0.2564,0.7917,pan,pan_jnkin8,,ok,
CHEMBL1089396_ACR0,CHEMBL1089396,chembl,C=CC(=O)N(CCc1ccc(NC(=O)c2cccc(-c3ccccc3)c2)cc1)C[C@H](O)c1cccnc1,ORLIGUAGODERMU-LJAQVGFWSA-N,O=C(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1cccc(-c2ccccc2)c1,491.59,5.29,10,2.84,ok,0,1,0.3163,0.3415,JNK-IN-8,JNK-IN-8,0.7644,56d,O=C(Nc1ccc(CCNCCc2cccnc2)cc1)c1cccc(-c2ccccc2)c1,,1,0.1949,0.1553,0.7016,0.2069,0.1584,0.7016,0.3163,0.3415,0.6886,0.2766,0.2386,0.7644,pan,pan_jnkin8,,ok,
CHEMBL4068375_ACR0,CHEMBL4068375,chembl,C=CC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)Nc1cccc(-c2ccnc(NC(C)=O)n2)c1,WTKAYMFLQCENKO-SFHVURJKSA-N,CC(=O)Nc1nccc(-c2cccc(NC(=O)[C@@H](N)Cc3c[nH]cn3)c2)n1,419.45,1.68,8,3.181,ok,0,1,0.3163,0.3373,JNK-IN-8,JNK-IN-8,0.8028,56d,O=C(CCc1c[nH]cn1)Nc1cccc(-c2ccncn2)c1,,0,0.2368,0.2371,0.665,0.2281,0.2165,0.665,0.3163,0.3373,0.7384,0.2371,0.1957,0.8028,pan,pan_jnkin8,,ok,
CHEMBL1078576_ACR0,CHEMBL1078576,chembl,C=CC(=O)N(CCc1ccc(NC(=O)c2cccc(-c3ncc[nH]3)c2)cc1)C[C@H](O)c1cccnc1,GWWTVASDVMEXAE-VWLOTQADSA-N,O=C(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1cccc(-c2ncc[nH]2)c1,481.56,4.01,10,3.127,ok,0,1,0.3137,0.3333,JNK-IN-8,JNK-IN-8,0.8081,56d,O=C(Nc1ccc(CCNCCc2cccnc2)cc1)c1cccc(-c2ncc[nH]2)c1,,1,0.168,0.1261,0.7275,0.1789,0.1284,0.7275,0.3137,0.3333,0.7735,0.25,0.2105,0.8081,pan,pan_jnkin8,,ok,
CHEMBL3426620_ACR0,CHEMBL3426620,chembl,C=CC(=O)NCc1ccc(C(=O)Nc2ccncc2F)cc1-c1cccc(C(=O)Nc2ccccc2)c1,CMFPHDFIYCTHLD-UHFFFAOYSA-N,NCc1ccc(C(=O)Nc2ccncc2F)cc1-c1cccc(C(=O)Nc2ccccc2)c1,494.53,5.19,8,2.369,ok,0,1,0.3258,0.3293,56d,JNK-IN-8,0.785,56d,O=C(Nc1ccccc1)c1cccc(-c2cccc(C(=O)Nc3ccncc3)c2)c1,,1,0.188,0.1683,0.6345,0.1897,0.1717,0.6345,0.3093,0.3293,0.6777,0.3258,0.2857,0.785,pan,pan_jnkin8,,ok,
CHEMBL184709_ACR0,CHEMBL184709,chembl,C=CC(=O)N(c1nccc(-c2cccnc2)n1)c1cc(NC(=O)Nc2ccc(N(C)C)cc2)ccc1C,ODMOPIMHZCKIAG-UHFFFAOYSA-N,Cc1ccc(NC(=O)Nc2ccc(N(C)C)cc2)cc1Nc1nccc(-c2cccnc2)n1,493.57,5.41,7,2.764,watch,1,1,0.3956,0.5493,JNK-IN-8,JNK-IN-8,0.8,JNK-IN-8,O=C(Nc1ccccc1)Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1,,1,0.2301,0.2268,0.7266,0.2212,0.2188,0.7266,0.3956,0.5493,0.8,0.2292,0.2111,0.7212,pan,pan_jnkin8,,soft_watch,aromatic_acrylamide
CHEMBL292866_ACR0,CHEMBL292866,chembl,C=CC(=O)N(c1cccc(NC(=O)c2ccccn2)c1)c1nccc(-c2cccnc2)n1,URBKOBDALSBUGC-UHFFFAOYSA-N,O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccccn1,422.45,4.04,6,2.641,watch,0,1,0.3977,0.5455,JNK-IN-8,JNK-IN-8,0.7742,JNK-IN-8,O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccccn1,,1,0.2162,0.2472,0.6917,0.2072,0.2529,0.6917,0.3977,0.5455,0.7742,0.2667,0.2469,0.6196,pan,pan_jnkin8,,soft_watch,aromatic_acrylamide
CHEMBL185775_ACR0,CHEMBL185775,chembl,C=CC(=O)N(c1nccc(-c2cccnc2)n1)c1cc(NC(=O)N2CCCCC2)ccc1C,MQPIJQPPLYGTPH-UHFFFAOYSA-N,Cc1ccc(NC(=O)N2CCCCC2)cc1Nc1nccc(-c2cccnc2)n1,442.52,4.72,5,2.731,watch,0,1,0.3723,0.5417,JNK-IN-8,JNK-IN-8,0.704,JNK-IN-8,O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)N1CCCCC1,,1,0.2368,0.2632,0.6999,0.2389,0.2688,0.6999,0.3723,0.5417,0.704,0.2,0.1828,0.5607,pan,pan_jnkin8,,soft_watch,aromatic_acrylamide
CHEMBL365439_ACR0,CHEMBL365439,chembl,C=CC(=O)N(c1nccc(-c2cccnc2)n1)c1cc(NC(=O)Nc2cccc3ncccc23)ccc1C,DYDGFBKPJPMAJW-UHFFFAOYSA-N,Cc1ccc(NC(=O)Nc2cccc3ncccc23)cc1Nc1nccc(-c2cccnc2)n1,501.55,5.89,6,2.793,watch,0,1,0.3854,0.5405,JNK-IN-8,JNK-IN-8,0.7707,JNK-IN-8,O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)Nc1cccc2ncccc12,,2,0.1983,0.2178,0.7288,0.1901,0.21,0.7288,0.3854,0.5405,0.7707,0.3053,0.2841,0.7192,pan,pan_jnkin8,,soft_watch,aromatic_acrylamide
CHEMBL56671_ACR0,CHEMBL56671,chembl,C=CC(=O)N(c1cccc(C(=O)OC)c1)c1nccc(-c2cccnc2)n1,VWGOVZPNZPOPQN-UHFFFAOYSA-N,COC(=O)c1cccc(Nc2nccc(-c3cccnc3)n2)c1,360.37,3.18,5,2.575,watch,0,1,0.3678,0.5385,JNK-IN-8,JNK-IN-8,0.6845,YL5084,c1ccc(Nc2nccc(-c3cccnc3)n2)cc1,,1,0.2018,0.2529,0.6845,0.1927,0.2442,0.6845,0.3678,0.5385,0.6208,0.2088,0.2073,0.5344,pan,pan_jnkin8,,soft_watch,aromatic_acrylamide
CHEMBL1400651_ACR0,CHEMBL1400651,chembl,C=CC(=O)Nc1cccc(C(=O)Nc2ccc3[nH]c(-c4cccnc4)nc3c2)c1,CMZKTKYMRSJEJJ-UHFFFAOYSA-N,Nc1cccc(C(=O)Nc2ccc3[nH]c(-c4cccnc4)nc3c2)c1,383.41,4.0,5,2.251,watch,0,1,0.4235,0.5362,JNK-IN-8,JNK-IN-8,0.8288,56d,O=C(Nc1ccc2[nH]c(-c3cccnc3)nc2c1)c1ccccc1,,2,0.177,0.1735,0.6834,0.1786,0.1771,0.6834,0.4235,0.5362,0.7874,0.4,0.3636,0.8288,pan,pan_jnkin8,,soft_watch,aromatic_acrylamide
CHEMBL278287_ACR0,CHEMBL278287,chembl,C=CC(=O)N(c1nccc(-c2cccnc2)n1)c1cc(N(C)C(=O)c2ccccc2)ccc1C,KESMTHUBXPBYHO-UHFFFAOYSA-N,Cc1ccc(N(C)C(=O)c2ccccc2)cc1Nc1nccc(-c2cccnc2)n1,449.51,4.97,6,2.734,watch,0,1,0.3736,0.5352,JNK-IN-8,JNK-IN-8,0.6604,JNK-IN-8,O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccccc1,,1,0.2342,0.2688,0.6449,0.2252,0.2747,0.6449,0.3736,0.5352,0.6604,0.1837,0.1739,0.5292,pan,pan_jnkin8,,soft_watch,aromatic_acrylamide
