id,parent_id,parent_source,smiles,inchikey,core_smiles,mw,clogp,rb,sa,reactivity_bucket,pains_flag,n_acrylamide,max_tc_full,max_tc_core,nearest_anchor_full,nearest_anchor_core,erg_max,nearest_erg,murcko,same_scaffold_as,hinge_hits,tc_full_YL5084,tc_core_YL5084,erg_YL5084,tc_full_YL2056,tc_core_YL2056,erg_YL2056,tc_full_JNK-IN-8,tc_core_JNK-IN-8,erg_JNK-IN-8,tc_full_56d,tc_core_56d,erg_56d,track,subtrack,discard_reason,react2,react2_reason
CHEMBL3355183_ACR0,CHEMBL3355183,chembl,C=CC(=O)N1CC(NC(=O)c2cccc(-n3cc(NC(=O)Nc4ccccc4Cl)cn3)c2)C1,HCOHFZOBXDOVPI-UHFFFAOYSA-N,O=C(Nc1cnn(-c2cccc(C(=O)NC3CNC3)c2)c1)Nc1ccccc1Cl,464.91,3.3,6,2.518,ok,0,1,0.519,0.5,56d,56d,0.8476,56d,O=C(Nc1ccccc1)Nc1cnn(-c2cccc(C(=O)NC3CNC3)c2)c1,,1,0.175,0.1415,0.7546,0.1966,0.1553,0.7546,0.1835,0.2043,0.7331,0.519,0.5,0.8476,sim,sim_56d,,ok,
CHEMBL3355184_ACR0,CHEMBL3355184,chembl,C=CC(=O)N1CCC(NC(=O)c2cccc(-n3cc(NC(=O)Nc4ccccc4Cl)cn3)c2)C1,VFGFBQQKQVAREK-UHFFFAOYSA-N,O=C(Nc1cnn(-c2cccc(C(=O)NC3CCNC3)c2)c1)Nc1ccccc1Cl,478.94,3.69,6,2.937,ok,0,1,0.494,0.4744,56d,56d,0.8476,56d,O=C(Nc1ccccc1)Nc1cnn(-c2cccc(C(=O)NC3CCNC3)c2)c1,,1,0.1789,0.1364,0.7546,0.2308,0.1604,0.7546,0.1875,0.1959,0.7331,0.494,0.4744,0.8476,sim,sim_56d,,ok,
CHEMBL177281_ACR0,CHEMBL177281,chembl,C=CC(=O)NC(=N)c1cccc(NC(=O)Nc2cccc(C(=N)N)c2)c1,KBLNSQQDYRYGCT-UHFFFAOYSA-N,N=C(N)c1cccc(NC(=O)Nc2cccc(C(=N)N)c2)c1,350.38,2.24,5,2.589,ok,0,1,0.3857,0.3443,56d,56d,0.5834,56d,O=C(Nc1ccccc1)Nc1ccccc1,,0,0.1238,0.122,0.3932,0.125,0.125,0.3932,0.2184,0.2388,0.574,0.3857,0.3443,0.5834,sim,sim_56d,,ok,
CHEMBL1809186_ACR0,CHEMBL1809186,chembl,C=CC(=O)NC(=N)c1cccc(C(=O)Nc2ccc3c(CC)nn(-c4ccccc4)c3c2)c1,GUFMHLIZXSCGKC-UHFFFAOYSA-N,CCc1nn(-c2ccccc2)c2cc(NC(=O)c3cccc(C(=N)N)c3)ccc12,437.5,4.47,6,2.698,ok,0,1,0.3765,0.3375,56d,56d,0.8468,56d,O=C(Nc1ccc2cnn(-c3ccccc3)c2c1)c1ccccc1,,0,0.2,0.1818,0.7146,0.2018,0.1735,0.7146,0.2475,0.2706,0.8185,0.3765,0.3375,0.8468,sim,sim_56d,,ok,
CHEMBL110027_ACR0,CHEMBL110027,chembl,C=CC(=O)NC(=N)c1ccc2cc(C(=O)Nc3cccc(Oc4ccccc4)c3)ccc2c1,QDGIOESQHMELGW-UHFFFAOYSA-N,N=C(N)c1ccc2cc(C(=O)Nc3cccc(Oc4ccccc4)c3)ccc2c1,435.48,5.51,6,2.448,ok,0,1,0.3636,0.3194,56d,56d,0.8088,56d,O=C(Nc1cccc(Oc2ccccc2)c1)c1ccc2ccccc2c1,,0,0.156,0.1538,0.6521,0.1574,0.1573,0.6521,0.2391,0.2632,0.696,0.3636,0.3194,0.8088,sim,sim_56d,,ok,
CHEMBL170306_ACR0,CHEMBL170306,chembl,C=CC(=O)NC(=N)c1cccc(NC(=O)c2ccccc2NC(=O)c2ccc(C(C)(C)C)cc2)c1,RCTQIWJGWRHYDF-UHFFFAOYSA-N,CC(C)(C)c1ccc(C(=O)Nc2ccccc2C(=O)Nc2cccc(C(=N)N)c2)cc1,468.56,5.12,6,2.483,ok,0,1,0.3797,0.3158,56d,56d,0.7648,56d,O=C(Nc1ccccc1C(=O)Nc1ccccc1)c1ccccc1,,0,0.1404,0.134,0.5582,0.1416,0.125,0.5582,0.2553,0.2625,0.7369,0.3797,0.3158,0.7648,sim,sim_56d,,ok,
CHEMBL355479_ACR0,CHEMBL355479,chembl,C=CC(=O)N[C@H](C(=O)N1CCCC1)[C@@H]1CC[C@@H](NC(=O)Nc2cccc3ccccc23)C1,BTIFVYUNGYQAPM-PWHSHALESA-N,N[C@H](C(=O)N1CCCC1)[C@@H]1CC[C@@H](NC(=O)Nc2cccc3ccccc23)C1,434.54,3.42,6,3.417,ok,0,1,0.3571,0.3125,56d,56d,0.4813,56d,O=C(Nc1cccc2ccccc12)N[C@@H]1CC[C@@H](CC(=O)N2CCCC2)C1,,0,0.1538,0.1616,0.4178,0.1858,0.2021,0.4178,0.1495,0.1648,0.4318,0.3571,0.3125,0.4813,sim,sim_56d,,ok,
CHEMBL171609_ACR0,CHEMBL171609,chembl,C=CC(=O)N[C@H](C(=O)N1CCCC1)[C@@H]1CC[C@H](NC(=O)Nc2cccc3ccccc23)C1,BTIFVYUNGYQAPM-MSYCTHLASA-N,N[C@H](C(=O)N1CCCC1)[C@@H]1CC[C@H](NC(=O)Nc2cccc3ccccc23)C1,434.54,3.42,6,3.417,ok,0,1,0.3571,0.3125,56d,56d,0.4813,56d,O=C(Nc1cccc2ccccc12)N[C@H]1CC[C@@H](CC(=O)N2CCCC2)C1,,0,0.1538,0.1616,0.4178,0.1858,0.2021,0.4178,0.1495,0.1648,0.4318,0.3571,0.3125,0.4813,sim,sim_56d,,ok,
CHEMBL354576_ACR0,CHEMBL354576,chembl,C=CC(=O)N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@@H](NC(=O)Nc2cccc3ccccc23)C1,BTIFVYUNGYQAPM-YYDVJCTNSA-N,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@@H](NC(=O)Nc2cccc3ccccc23)C1,434.54,3.42,6,3.417,ok,0,1,0.3571,0.3125,56d,56d,0.4813,56d,O=C(Nc1cccc2ccccc12)N[C@@H]1CC[C@H](CC(=O)N2CCCC2)C1,,0,0.1538,0.1616,0.4178,0.1858,0.2021,0.4178,0.1495,0.1648,0.4318,0.3571,0.3125,0.4813,sim,sim_56d,,ok,
CHEMBL182021_ACR0,CHEMBL182021,chembl,C=CC(=O)N[C@@H](Cc1c(C)cc(O)cc1C)C(=O)Nc1cccc2ccccc12,YJCLDQHYYVGWCO-QFIPXVFZSA-N,Cc1cc(O)cc(C)c1C[C@H](N)C(=O)Nc1cccc2ccccc12,388.47,4.01,6,2.774,ok,0,1,0.359,0.3108,56d,56d,0.7678,56d,O=C(CCc1ccccc1)Nc1cccc2ccccc12,,0,0.1545,0.1263,0.5445,0.156,0.117,0.5445,0.2105,0.2099,0.6496,0.359,0.3108,0.7678,sim,sim_56d,,ok,
