id,parent_id,parent_source,smiles,inchikey,core_smiles,mw,clogp,rb,sa,reactivity_bucket,pains_flag,n_acrylamide,max_tc_full,max_tc_core,nearest_anchor_full,nearest_anchor_core,erg_max,nearest_erg,murcko,same_scaffold_as,hinge_hits,tc_full_YL5084,tc_core_YL5084,erg_YL5084,tc_full_YL2056,tc_core_YL2056,erg_YL2056,tc_full_JNK-IN-8,tc_core_JNK-IN-8,erg_JNK-IN-8,tc_full_56d,tc_core_56d,erg_56d,track,subtrack,discard_reason,react2,react2_reason
CHEMBL4294099_ACR1,CHEMBL4294099,chembl,C=CC(=O)N1CC[C@@H](Nc2nccc(-c3c(-c4ccccc4)noc3C)n2)C1,IKFPJYNGWYAFIC-MRXNPFEDSA-N,Cc1onc(-c2ccccc2)c1-c1ccnc(N[C@@H]2CCNC2)n1,375.43,3.31,5,3.027,ok,0,1,0.4624,0.3614,YL2056,YL2056,0.8771,YL5084,c1ccc(-c2nocc2-c2ccnc(N[C@@H]3CCNC3)n2)cc1,,0,0.3564,0.3218,0.8771,0.4624,0.3614,0.8771,0.25,0.2326,0.7281,0.1717,0.0938,0.5979,sim,sim_yl,,ok,
CHEMBL2035020_ACR0,CHEMBL2035020,chembl,C=CC(=O)NC1(c2ccc(-c3nn4ccccc4c3-c3ccccc3)cc2)CCC1,ZYMVDWOCRDONMS-UHFFFAOYSA-N,NC1(c2ccc(-c3nn4ccccc4c3-c3ccccc3)cc2)CCC1,393.49,5.35,5,2.576,ok,0,1,0.3163,0.3377,YL2056,YL2056,0.6261,YL5084,c1ccc(-c2c(-c3ccc(C4CCC4)cc3)nn3ccccc23)cc1,,1,0.3131,0.3291,0.6261,0.3163,0.3377,0.6261,0.1238,0.0909,0.591,0.1848,0.1047,0.4848,sim,sim_yl,,ok,
CHEMBL3478505_ACR1,CHEMBL3478505,chembl,C=CC(=O)NC1CCCN(C(=O)c2cnc(N)nc2-c2ccccc2)CC1,GMMWSFAFGGSANH-UHFFFAOYSA-N,Nc1ncc(C(=O)N2CCCC(N)CC2)c(-c2ccccc2)n1,365.44,2.02,4,2.79,ok,0,1,0.2816,0.3171,YL2056,YL2056,0.7169,YL5084,O=C(c1cncnc1-c1ccccc1)N1CCCCCC1,,0,0.2315,0.2644,0.7169,0.2816,0.3171,0.7169,0.1635,0.1744,0.6985,0.2043,0.1628,0.5439,sim,sim_yl,,ok,
CHEMBL2315677_ACR0,CHEMBL2315677,chembl,C=CC(=O)N(C1CCN(C(=O)OCC)CC1)[C@H]1CCCN(C(=O)c2ccccc2)C1,IVFVABHTNDEMFM-FQEVSTJZSA-N,CCOC(=O)N1CCC(N[C@H]2CCCN(C(=O)c3ccccc3)C2)CC1,413.52,2.93,5,2.9,ok,0,1,0.25,0.3171,YL2056,YL2056,0.3971,YL5084,O=C(c1ccccc1)N1CCC[C@H](NC2CCNCC2)C1,,0,0.213,0.236,0.3971,0.25,0.3171,0.3971,0.1442,0.1348,0.2353,0.1579,0.1364,0.1924,sim,sim_yl,,ok,
CHEMBL1950724_ACR0,CHEMBL1950724,chembl,C=CC(=O)N(C)[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCN(C(=O)c2ccccc2)C1)C1CCCCC1,PAJIHCBGTBJMPM-HARLFGEKSA-N,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCN(C(=O)c2ccccc2)C1)C1CCCCC1,468.6,2.12,8,3.545,ok,0,1,0.283,0.314,YL2056,YL2056,0.4875,YL5084,O=C(CC1CCCCC1)N[C@H]1CCN(C(=O)c2ccccc2)C1,,0,0.2124,0.2366,0.4875,0.283,0.314,0.4875,0.1468,0.1277,0.4323,0.1837,0.1538,0.447,sim,sim_yl,,ok,
CHEMBL212908_ACR0,CHEMBL212908,chembl,C=CC(=O)N[C@H]1CC[C@H](Nc2nccc(-c3c(C)[nH]c4ncccc34)n2)CC1,LSSZIQIRZYIFSG-SHTZXODSSA-N,Cc1[nH]c2ncccc2c1-c1ccnc(N[C@H]2CC[C@H](N)CC2)n1,376.46,3.35,5,2.764,ok,0,1,0.3069,0.3133,YL2056,YL2056,0.7812,JNK-IN-8,c1cnc2[nH]cc(-c3ccnc(NC4CCCCC4)n3)c2c1,,1,0.2667,0.2759,0.7645,0.3069,0.3133,0.7645,0.2474,0.2439,0.7812,0.1915,0.1099,0.6423,sim,sim_yl,,ok,
CHEMBL4176060_ACR0,CHEMBL4176060,chembl,C=CC(=O)N(Cc1ccccc1)C1CCN(C(=O)c2ccc(-n3cccn3)nc2)CC1,HVDKPHYMHHVALC-UHFFFAOYSA-N,O=C(c1ccc(-n2cccn2)nc1)N1CCC(NCc2ccccc2)CC1,415.5,3.09,6,2.496,ok,0,1,0.2477,0.3103,YL2056,YL2056,0.7075,YL5084,O=C(c1ccc(-n2cccn2)nc1)N1CCC(NCc2ccccc2)CC1,,1,0.2232,0.2473,0.7075,0.2477,0.3103,0.7075,0.1574,0.1505,0.5441,0.2083,0.1778,0.446,sim,sim_yl,,ok,
CHEMBL2425652_ACR0,CHEMBL2425652,chembl,C=CC(=O)N[C@H]1CC[C@H](Nc2nccc(-n3nnc4ccccc43)n2)CC1,WNADHBFQUJIVED-HDJSIYSDSA-N,N[C@H]1CC[C@H](Nc2nccc(-n3nnc4ccccc43)n2)CC1,363.43,2.24,5,2.621,ok,0,1,0.29,0.3049,YL2056,YL2056,0.8096,YL5084,c1ccc2c(c1)nnn2-c1ccnc(NC2CCCCC2)n1,,0,0.25,0.2529,0.8096,0.29,0.3049,0.8096,0.1683,0.1494,0.7486,0.1978,0.1124,0.5629,sim,sim_yl,,ok,
CHEMBL327506_ACR0,CHEMBL327506,chembl,C=CC(=O)N(Cc1cncn1Cc1ccc(C#N)cc1)[C@H]1CCN(C(=O)c2ccccc2)C1,NYYLITXDRHDEJP-QHCPKHFHSA-N,N#Cc1ccc(Cn2cncc2CN[C@H]2CCN(C(=O)c3ccccc3)C2)cc1,439.52,3.23,7,3.067,ok,0,1,0.2348,0.3043,YL2056,YL2056,0.6662,YL5084,O=C(c1ccccc1)N1CC[C@H](NCc2cncn2Cc2ccccc2)C1,,0,0.2017,0.22,0.6662,0.2348,0.3043,0.6662,0.1491,0.13,0.5737,0.1845,0.1546,0.4976,sim,sim_yl,,ok,
CHEMBL3093663_ACR0,CHEMBL3093663,chembl,C=CC(=O)N1C[C@H]2C[C@@H](C1)CN(C(=O)c1ccc(-c3ccccc3)cc1)C2,OBCQARCKYRSNHQ-HDICACEKSA-N,O=C(c1ccc(-c2ccccc2)cc1)N1C[C@@H]2CNC[C@@H](C2)C1,360.46,3.46,3,3.644,ok,0,1,0.2747,0.3026,YL5084,YL5084,0.3837,YL5084,O=C(c1ccc(-c2ccccc2)cc1)N1C[C@@H]2CNC[C@@H](C2)C1,,0,0.2747,0.3026,0.3837,0.2637,0.2933,0.3837,0.1183,0.125,0.234,0.1728,0.1266,0.2084,sim,sim_yl,,ok,
