id,track,reason
CHEMBL2272488_ACR0,sim_yl,hard_bad:epoxide
CHEMBL2272487_ACR0,sim_yl,hard_bad:epoxide
CHEMBL1507187_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL517559_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL487066_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL487067_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
XARC000000987794_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL455427_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL3702633_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL4280540_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL222067_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL3694319_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL3134605_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL1084454_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL256026_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL1084454_ACR1,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL3099029_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL1426065_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL257949_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL569046_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL3189516_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL4291434_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
XARC000001326577_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL4291434_ACR1,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL93378_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL212491_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL511670_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL186101_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL3099024_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL3133818_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL3800388_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL4279986_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL4062058_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL581917_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL4278951_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL3898491_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL200191_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL545963_ACR1,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL545963_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL1077431_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
XARC000001346558_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL3133818_ACR1,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL524059_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL470483_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL215529_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL1393172_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL3945522_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL3823349_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL3641556_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL3641554_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL458348_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL3775278_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL3775620_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL3822805_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL1807776_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL455428_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL3643810_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL3775565_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
XARC000007615687_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
XARC000005317755_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL2069998_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL1766777_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL3197663_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL3900659_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL3545585_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL3326190_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL3326197_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
CHEMBL1385421_ACR0,pan,over_cap_or_softwatch_excess:soft_watch
