id,parent_id,parent_source,smiles,inchikey,core_smiles,mw,clogp,rb,sa,reactivity_bucket,pains_flag,n_acrylamide,max_tc_full,max_tc_core,nearest_anchor_full,nearest_anchor_core,erg_max,nearest_erg,murcko,same_scaffold_as,hinge_hits,tc_full_YL5084,tc_core_YL5084,erg_YL5084,tc_full_YL2056,tc_core_YL2056,erg_YL2056,tc_full_JNK-IN-8,tc_core_JNK-IN-8,erg_JNK-IN-8,tc_full_56d,tc_core_56d,erg_56d,track,subtrack,discard_reason,react2,react2_reason,stepA_keep
CHEMBL3671237_ACR0,CHEMBL3671237,chembl,C=CC(=O)NCC(=O)Nc1ccc(N2CC(CNC(=O)c3ccc(Cl)s3)OC2=O)cc1,OUPMIMITFNXSHZ-UHFFFAOYSA-N,NCC(=O)Nc1ccc(N2CC(CNC(=O)c3ccc(Cl)s3)OC2=O)cc1,462.92,2.4,8,2.955,ok,0,1,0.1939,0.1489,56d,56d,0.8788,56d,O=C(NCC1CN(c2ccccc2)C(=O)O1)c1cccs1,,0,0.15,0.1238,0.7316,0.1513,0.1262,0.7316,0.1351,0.1474,0.803,0.1939,0.1489,0.8788,novel,novel,,ok,,unsure
CHEMBL3410050_ACR0,CHEMBL3410050,chembl,C=CC(=O)NCCN(C(=O)Nc1ccc(-c2ncnc3[nH]cc(C)c23)cc1)c1ccc(Cl)cc1,JPNFRPCSSHSYNP-UHFFFAOYSA-N,Cc1c[nH]c2ncnc(-c3ccc(NC(=O)N(CCN)c4ccc(Cl)cc4)cc3)c12,474.95,4.93,7,2.757,ok,0,1,0.1864,0.1828,YL2056,JNK-IN-8,0.8774,56d,O=C(Nc1ccccc1)Nc1ccc(-c2ncnc3[nH]ccc23)cc1,,0,0.175,0.1333,0.6742,0.1864,0.125,0.6742,0.1835,0.1828,0.813,0.1538,0.1122,0.8774,novel,novel,,ok,,unsure
CHEMBL385215_ACR0,CHEMBL385215,chembl,C=CC(=O)NCCNC(=O)c1ccc(Oc2ccc(C)c(C)c2)c(NC(=O)CCc2ccccc2)c1,WGQXVMHFDUNJTB-UHFFFAOYSA-N,Cc1ccc(Oc2ccc(C(=O)NCCN)cc2NC(=O)CCc2ccccc2)cc1C,485.58,4.7,11,2.257,ok,0,1,0.2188,0.1935,56d,JNK-IN-8,0.8721,56d,O=C(CCc1ccccc1)Nc1ccccc1Oc1ccccc1,,0,0.1405,0.1321,0.6848,0.1417,0.1238,0.6848,0.1887,0.1935,0.7585,0.2188,0.1702,0.8721,novel,novel,,ok,,unsure
CHEMBL3094458_ACR0,CHEMBL3094458,chembl,C=CC(=O)NCCCNC(=O)c1ccc(Cl)c(NC(=O)c2cc3cnc(OC)nc3[nH]c2=O)c1,BPYKRELYJCXMOK-UHFFFAOYSA-N,COc1ncc2cc(C(=O)Nc3cc(C(=O)NCCCN)ccc3Cl)c(=O)[nH]c2n1,484.9,1.65,9,2.696,ok,0,1,0.2323,0.2083,56d,JNK-IN-8,0.8678,JNK-IN-8,O=C(Nc1ccccc1)c1cc2cncnc2[nH]c1=O,,1,0.144,0.1261,0.7243,0.1452,0.1182,0.7243,0.2018,0.2083,0.8678,0.2323,0.1856,0.8106,novel,novel,,ok,,unsure
CHEMBL3139624_ACR0,CHEMBL3139624,chembl,C=CC(=O)NCCCOc1cccc(C(=O)Nc2sc3c(c2C#N)CCCC3)c1,GZIBXUIVXLXJLD-UHFFFAOYSA-N,N#Cc1c(NC(=O)c2cccc(OCCCN)c2)sc2c1CCCC2,409.51,3.82,8,2.421,ok,0,1,0.2421,0.2111,56d,JNK-IN-8,0.8626,56d,O=C(Nc1cc2c(s1)CCCC2)c1ccccc1,,0,0.121,0.1132,0.7023,0.122,0.1154,0.7023,0.1981,0.2111,0.7408,0.2421,0.2,0.8626,novel,novel,,ok,,unsure
CHEMBL3112630_ACR0,CHEMBL3112630,chembl,C=CC(=O)NCCCOc1ccc(Cl)c(C(=O)Nc2sc3c(c2C#N)CCCC3)c1,WIUUZVVPFJUEFV-UHFFFAOYSA-N,N#Cc1c(NC(=O)c2cc(OCCCN)ccc2Cl)sc2c1CCCC2,443.96,4.48,8,2.504,ok,0,1,0.1635,0.1313,56d,JNK-IN-8,0.8626,56d,O=C(Nc1cc2c(s1)CCCC2)c1ccccc1,,0,0.1008,0.0901,0.7023,0.1016,0.0917,0.7023,0.1304,0.1313,0.7408,0.1635,0.1212,0.8626,novel,novel,,ok,,unsure
CHEMBL3410049_ACR0,CHEMBL3410049,chembl,C=CC(=O)NCCN(C(=O)Nc1ccc(-c2ncnc3[nH]cc(C)c23)cc1)c1ccc(OC)cc1,BWHGDIMPPLVWBU-UHFFFAOYSA-N,COc1ccc(N(CCN)C(=O)Nc2ccc(-c3ncnc4[nH]cc(C)c34)cc2)cc1,470.53,4.28,8,2.747,ok,0,1,0.1833,0.1789,YL2056,JNK-IN-8,0.8612,56d,O=C(Nc1ccccc1)Nc1ccc(-c2ncnc3[nH]ccc23)cc1,,0,0.1721,0.1308,0.7113,0.1833,0.1226,0.7113,0.1802,0.1789,0.8308,0.1509,0.11,0.8612,novel,novel,,ok,,unsure
CHEMBL3974194_ACR0,CHEMBL3974194,chembl,C=CC(=O)N[C@@H](Cc1ccccc1)C(=O)NC(=O)c1ccc(NC(=O)N2Cc3ccccc3C2)cc1,KEIMPFDUROIOOM-DEOSSOPVSA-N,N[C@@H](Cc1ccccc1)C(=O)NC(=O)c1ccc(NC(=O)N2Cc3ccccc3C2)cc1,482.54,3.4,7,2.792,ok,0,1,0.2472,0.2024,56d,56d,0.8575,56d,O=C(CCc1ccccc1)NC(=O)c1ccc(NC(=O)N2Cc3ccccc3C2)cc1,,0,0.211,0.1684,0.6678,0.213,0.172,0.6678,0.1765,0.1724,0.7294,0.2472,0.2024,0.8575,novel,novel,,ok,,unsure
CHEMBL3939777_ACR0,CHEMBL3939777,chembl,C=CC(=O)N[C@@H](Cc1ccccc1)C(=O)NC(=O)c1ccc(NC(=O)N2Cc3ccc(F)cc3C2)cc1,IMNSSTQVCWOLHE-DEOSSOPVSA-N,N[C@@H](Cc1ccccc1)C(=O)NC(=O)c1ccc(NC(=O)N2Cc3ccc(F)cc3C2)cc1,500.53,3.54,7,2.888,ok,0,1,0.2396,0.1978,56d,56d,0.8575,56d,O=C(CCc1ccccc1)NC(=O)c1ccc(NC(=O)N2Cc3ccccc3C2)cc1,,0,0.1966,0.1553,0.6678,0.1983,0.1584,0.6678,0.1743,0.1702,0.7294,0.2396,0.1978,0.8575,novel,novel,,ok,,unsure
CHEMBL3983165_ACR0,CHEMBL3983165,chembl,C=CC(=O)N[C@H](Cc1ccccc1)C(=O)NC(=O)c1ccc(NC(=O)N2Cc3ccc(F)cc3C2)cc1,IMNSSTQVCWOLHE-XMMPIXPASA-N,N[C@H](Cc1ccccc1)C(=O)NC(=O)c1ccc(NC(=O)N2Cc3ccc(F)cc3C2)cc1,500.53,3.54,7,2.888,ok,0,1,0.2396,0.1978,56d,56d,0.8575,56d,O=C(CCc1ccccc1)NC(=O)c1ccc(NC(=O)N2Cc3ccccc3C2)cc1,,0,0.1966,0.1553,0.6678,0.1983,0.1584,0.6678,0.1743,0.1702,0.7294,0.2396,0.1978,0.8575,novel,novel,,ok,,unsure
