name,uniprot,n_holo_reso_le_3.5,example_pdbs
EGFR,P00533,343,8A27;8A2D;5UG9;5HG8;8A2A;5UG8;3POZ;6TFV
HER2,P04626,28,8VB5;8JYR;8U8X;7PCD;6LBX;5MY6;3PP0;2A91
MCL1,Q07820,122,8VJP;9PQ7;9PQ5;6UDV;8G3S;5W89;5C3F;8G3X
BCL2L1_BclxL,Q07817,72,7JGW;3SP7;7YAA;7LH7;9IGG;4A1U;6VWC;6O0K
PIK3CA,P42336,106,9CMK;9ASF;9CX0;7L1C;9CWY;8EXL;9CX1;9CML
MTOR,P42345,41,4DRI;5GPG;4DRJ;3FAP;8PPZ;8XI9;9PJ1;1NSG
BRD4,O60885,584,4QB3;6FO5;7Z9W;4ZC9;9P34;6I7Y;7ZAJ;8YMG
HDAC1,Q13547,6,7SME;9R4I;4BKX;5ICN;8VPQ;8VRT
PARP1,P09874,90,6NRH;9ETQ;7AAC;6NRJ;7KK2;2RIQ;6NRG;7KK5
MET,P08581,113,9T6K;9T0D;4R1V;9SXJ;3F66;3ZCL;9T08;3DKC
ACHE,P22303,74,4M0E;6NTO;5HF5;6O5V;4EY4;6WVO;5HF9;5HFA
BCHE,P06276,108,6ZWI;6QAA;1P0I;2WSL;7AWG;7QHD;1XLW;2WIJ
CDK6,Q00534,18,9PE8;1BLX;6OQO;9D8U;9PE7;5L2S;4AUA;5L2T
BCL2,P10415,43,8HTS;6GL8;6QGG;9IGG;8HTR;6O0K;9I9E;9O14
AKT1,P31749,40,1UNQ;1UNR;1H10;8JOW;4GV1;3QKL;7NH5;8UW9
RPS6KB1_p70S6K,P23443,20,3WF7;3WF8;3WE4;3WF6;3WF9;3WF5;4L3J;4L3L
