pair,status,gene_A,uniprot_A,gene_B,uniprot_B,n_ok_receptors_A,n_ok_receptors_B,top_receptor_A,top_reso_A,top_cognate_A,top_receptor_B,top_reso_B,top_cognate_B,verdict_A,verdict_B,shared_druglike_comp_ids,n_shared_druglike,ready_to_dock
PIK3CA/mTOR,already_docked_verified,PIK3CA,P42336,MTOR,P42345,4,1,9CMK,1.75,A1ATF,8PPZ,1.85,0AN,OK_candidate,CAUTION_complex_site_check_required,,0,1
AChE/BChE,already_docked_verified,ACHE,P22303,BCHE,P06276,8,6,4M0E,2.0,1YL,6ZWI,1.85,QRH,OK_candidate,OK_candidate,,0,1
F2/F10,new,F2,P00734,F10,P00742,6,9,5AFY,1.12,WCE,2JKH,1.25,BI7,CAUTION_complex_site_check_required,CAUTION_complex_site_check_required,,0,1
JAK1/TYK2,new,JAK1,P23458,TYK2,P29597,12,11,6N7A,1.33,KEV,3LXP,1.65,IZA,OK_candidate,OK_candidate,,0,1
JAK1/JAK2,new,JAK1,P23458,JAK2,O60674,12,12,6N7A,1.33,KEV,8BXH,1.3,C87,OK_candidate,OK_candidate,,0,1
PPARG/PPARA,new,PPARG,P37231,PPARA,Q07869,10,9,9F7W,1.25,2OH,6LXA,1.23,EPA,CAUTION_complex_site_check_required,OK_candidate,,0,1
PPARA/PPARD,new,PPARA,Q07869,PPARD,Q03181,9,12,6LXA,1.23,EPA,5U3Q,1.5,7UJ,OK_candidate,OK_candidate,P7F,1,1
CTSK/CTSS,new,CTSK,P43235,CTSS,P25774,12,11,4X6H,1.0,3XT,9GJ2,1.15,KH0,OK_candidate,OK_candidate,,0,1
