protein,pdb,pose_rank,hungarian_rmsd_A,calcrrms_rmsd_A,mapping_method,pose_status
AChE,4EY7,1,0.3385,0.3385,Meeko topology + RDKit CalcRMS; no superposition,original_production_qc
AChE,4EY7,2,1.0938,2.3289,Meeko topology + RDKit CalcRMS; no superposition,original_production_qc
AChE,4EY7,3,3.4709,8.9504,Meeko topology + RDKit CalcRMS; no superposition,original_production_qc
AChE,4EY7,4,1.6692,1.7848,Meeko topology + RDKit CalcRMS; no superposition,original_production_qc
AChE,4EY7,5,1.8598,2.7982,Meeko topology + RDKit CalcRMS; no superposition,original_production_qc
AChE,4EY7,6,4.0615,4.5106,Meeko topology + RDKit CalcRMS; no superposition,original_production_qc
AChE,4EY7,7,2.6439,10.2338,Meeko topology + RDKit CalcRMS; no superposition,original_production_qc
AChE,4EY7,8,3.6696,4.23,Meeko topology + RDKit CalcRMS; no superposition,original_production_qc
BChE,4BDS,1,0.4738,4.7941,SDF graph + element-constrained map + CalcRMS,original_production_qc
BChE,4BDS,2,1.1094,5.3496,SDF graph + element-constrained map + CalcRMS,original_production_qc
BChE,4BDS,3,0.3856,0.3856,SDF graph + element-constrained map + CalcRMS,original_production_qc
BChE,4BDS,4,6.3654,6.5742,SDF graph + element-constrained map + CalcRMS,original_production_qc
BChE,4BDS,5,6.5098,6.5113,SDF graph + element-constrained map + CalcRMS,original_production_qc
BChE,4BDS,6,1.1517,2.6756,SDF graph + element-constrained map + CalcRMS,original_production_qc
BChE,4BDS,7,1.955,2.4807,SDF graph + element-constrained map + CalcRMS,original_production_qc
BChE,4BDS,8,7.2837,7.3524,SDF graph + element-constrained map + CalcRMS,original_production_qc
BChE,4BDS,9,1.7079,3.16,SDF graph + element-constrained map + CalcRMS,original_production_qc
EGFR,3POZ,1,7.7795,9.5054,Meeko topology + RDKit CalcRMS; no superposition,reconstructed_qc
EGFR,3POZ,2,7.5749,9.2155,Meeko topology + RDKit CalcRMS; no superposition,reconstructed_qc
EGFR,3POZ,3,4.9358,6.227,Meeko topology + RDKit CalcRMS; no superposition,reconstructed_qc
EGFR,3POZ,4,6.79,8.8169,Meeko topology + RDKit CalcRMS; no superposition,reconstructed_qc
EGFR,3POZ,5,3.7296,9.481,Meeko topology + RDKit CalcRMS; no superposition,reconstructed_qc
EGFR,3POZ,6,6.1588,6.4933,Meeko topology + RDKit CalcRMS; no superposition,reconstructed_qc
EGFR,3POZ,7,0.6802,0.7599,Meeko topology + RDKit CalcRMS; no superposition,reconstructed_qc
EGFR,3POZ,8,7.0094,8.8661,Meeko topology + RDKit CalcRMS; no superposition,reconstructed_qc
EGFR,3POZ,9,6.8471,9.9858,Meeko topology + RDKit CalcRMS; no superposition,reconstructed_qc
HER2,3RCD,1,1.7294,1.8546,Meeko topology + RDKit CalcRMS; no superposition,original_production_qc
HER2,3RCD,2,2.4046,2.6957,Meeko topology + RDKit CalcRMS; no superposition,original_production_qc
HER2,3RCD,3,1.1126,1.3944,Meeko topology + RDKit CalcRMS; no superposition,original_production_qc
HER2,3RCD,4,3.4971,3.9288,Meeko topology + RDKit CalcRMS; no superposition,original_production_qc
HER2,3RCD,5,2.1019,5.1525,Meeko topology + RDKit CalcRMS; no superposition,original_production_qc
HER2,3RCD,6,2.546,5.5652,Meeko topology + RDKit CalcRMS; no superposition,original_production_qc
HER2,3RCD,7,5.8725,8.3754,Meeko topology + RDKit CalcRMS; no superposition,original_production_qc
HER2,3RCD,8,4.9404,8.4254,Meeko topology + RDKit CalcRMS; no superposition,original_production_qc
HER2,3RCD,9,4.0264,5.2705,Meeko topology + RDKit CalcRMS; no superposition,original_production_qc
PIK3CA,4L23,1,0.6237,0.6237,Meeko pose vs CCD/SMILES + bond-aware crystal coords + graph automorphism CalcRMS,original_production_qc
PIK3CA,4L23,2,1.2224,4.949,Meeko pose vs CCD/SMILES + bond-aware crystal coords + graph automorphism CalcRMS,original_production_qc
PIK3CA,4L23,3,1.8082,5.7399,Meeko pose vs CCD/SMILES + bond-aware crystal coords + graph automorphism CalcRMS,original_production_qc
PIK3CA,4L23,4,1.435,7.1778,Meeko pose vs CCD/SMILES + bond-aware crystal coords + graph automorphism CalcRMS,original_production_qc
PIK3CA,4L23,5,1.276,6.0262,Meeko pose vs CCD/SMILES + bond-aware crystal coords + graph automorphism CalcRMS,original_production_qc
PIK3CA,4L23,6,2.3469,5.9034,Meeko pose vs CCD/SMILES + bond-aware crystal coords + graph automorphism CalcRMS,original_production_qc
PIK3CA,4L23,7,2.2688,6.1408,Meeko pose vs CCD/SMILES + bond-aware crystal coords + graph automorphism CalcRMS,original_production_qc
PIK3CA,4L23,8,2.0438,6.4221,Meeko pose vs CCD/SMILES + bond-aware crystal coords + graph automorphism CalcRMS,original_production_qc
PIK3CA,4L23,9,4.8547,5.5941,Meeko pose vs CCD/SMILES + bond-aware crystal coords + graph automorphism CalcRMS,original_production_qc
mTOR,4JT6,1,1.6482,7.1183,Meeko pose vs CCD/SMILES + bond-aware crystal coords + graph automorphism CalcRMS,original_production_qc
mTOR,4JT6,2,1.1475,4.9878,Meeko pose vs CCD/SMILES + bond-aware crystal coords + graph automorphism CalcRMS,original_production_qc
mTOR,4JT6,3,0.4454,0.4454,Meeko pose vs CCD/SMILES + bond-aware crystal coords + graph automorphism CalcRMS,original_production_qc
mTOR,4JT6,4,1.1607,5.9615,Meeko pose vs CCD/SMILES + bond-aware crystal coords + graph automorphism CalcRMS,original_production_qc
mTOR,4JT6,5,1.6874,5.7628,Meeko pose vs CCD/SMILES + bond-aware crystal coords + graph automorphism CalcRMS,original_production_qc
mTOR,4JT6,6,2.1106,5.2467,Meeko pose vs CCD/SMILES + bond-aware crystal coords + graph automorphism CalcRMS,original_production_qc
mTOR,4JT6,7,4.9637,6.9303,Meeko pose vs CCD/SMILES + bond-aware crystal coords + graph automorphism CalcRMS,original_production_qc
