gene,uniprot,pocket_class,n_holo_reso_le_3.5,h3_end_pass,example_pdbs,n_non_solvent_chem_comp,example_chem_comp
ACHE,P22303,hydrolase_gorge,74,1,4M0E;6NTO;5HF5;6O5V;4EY4;6WVO;5HF9;5HFA,42,1YK;1YL;3VI;4IX;4J1;7PE;A1AAJ;A1CD5;A1CDA;A1IAS;AA;CVZ
ADORA1,P30542,gpcr,4,0,5UEN;7LD3;7LD4;5N2S,4,8K8;ADN;DU1;XTD
ADORA2A,P29274,gpcr,183,1,5NM4;9H37;5IU4;9H2X;4EIY;6LPJ;6LPK;7IO5,137,2O8;6DV;6DX;6DY;6DZ;6N4;8D1;8E2;8IM;8JN;8K6;8ZX
ADORA3,P0DMS8,gpcr,3,0,8X17;9EHS;8X16,3,A1BII;Q8L;XS0
ALDH1A1,P00352,qhts_counterscreen,22,1,7JWS;7JWV;7JWW;5L2M;5L2N;4WJ9;8T0T;4WP7,21,3SR;3ST;3XG;6ZU;6ZW;6ZY;A5Y;K9P;M39;NAD;NAI;NQR
BCHE,P06276,hydrolase_gorge,110,1,6ZWI;6QAA;1P0I;2WSL;7AWG;7QHD;1XLW;2WIJ,106,15F;1PG;3F9;40V;4OJ;5HB;5HF;5HH;6QS;6YC;8IS;8IV
BLM,P54132,qhts_counterscreen,10,1,7AUC;9P3E;5LUP;5MK5;4O3M;3WE2;4CDG;3WE3,3,ADP;ART;RY8
BRD4,O60885,bromodomain,593,1,4QB3;6FO5;7Z9W;4ZC9;9P34;6I7Y;7ZAJ;8YMG,547,08H;08J;08K;0NS;0Q1;0S6;13F;14X;14Z;15E;1A3;1A4
CA1,P00915,zn_lyase,57,1,7Q0D;8CDX;6I0J;6Y00;8S4F;6F3B;6I0L;5E2M,53,3TV;3UF;3UG;7TI;84Z;949;A1H1P;A1H6C;A1IS9;A1IX5;A1JJR;AAS
CA2,P00918,zn_lyase,1237,1,3K34;3KS3;5Y2S;6B00;6KLZ;6KM2;6ROB;3U7C,740,010;03T;067;0CR;0F3;0FZ;0I6;0IC;0NM;0TR;0VV;0VW
CA4,P22748,zn_lyase,10,1,3FW3;5KU6;5JN8;3F7U;5JNA;5JNC;3F7B;5IPZ,9,6CC;6LH;AG4;AG5;AZM;ETS;EZL;MZM;TOR
